Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2022-04-14,12.812838888888887,19.92,255.2317506666667,1.5546905859617373,12.18,79663.12680312901,87.83,83.81,1.84
2022-04-15,12.84692777777778,15.75,202.33911250000003,1.2259740439456557,18.5,96179.13070156467,138.93,71.5,0.0
2022-04-16,12.880847222222224,16.125,207.70366145833336,1.2518586488768313,8.71,46605.4528575075,61.31,90.62,3.14
2022-04-17,12.914591666666666,19.495,251.76996454166667,1.5095328217242645,13.51,87855.69984736253,93.09,83.44,40.08
2022-04-18,12.948152777777777,14.745,190.9205127083333,1.138772476125402,10.669999999999998,52753.93041490854,81.55,78.12,5.54
2022-04-19,12.981522222222225,11.33,147.0806467777778,0.8727790012641901,17.34,66215.58814208543,137.69,66.0,0.0
2022-04-20,13.014688888888887,13.305,173.16043566666664,1.0223064195840257,18.65,84060.36908786648,131.09,74.25,0.0
2022-04-21,13.047647222222222,17.225,224.7457234027778,1.320161382863194,15.09,88499.91993433659,106.06,76.56,0.01
2022-04-22,13.08038611111111,19.035,248.985149625,1.4552322720680817,16.97,110536.53504936256,139.95,75.69,0.03
2022-04-23,13.112894444444445,19.31,253.2099917222222,1.4725963121117849,14.82,98414.16309022096,127.7,80.06,0.04
2022-04-24,13.145169444444443,18.99,249.62676775,1.4446371406818008,14.999999999999998,98441.58479828188,129.23,76.19,0.09
2022-04-25,13.177194444444444,20.87,275.00804805555555,1.5837969218704877,15.8,114513.1709272796,129.3,79.38,0.16
2022-04-26,13.208961111111112,19.745,260.81093713888885,1.494818542799017,14.489999999999998,99837.3034240604,81.88,83.62,1.9
2022-04-27,13.240461111111111,16.4,217.14356222222224,1.238627557029526,16.919999999999998,97292.73735588892,145.43,61.56,0.0
2022-04-28,13.27168611111111,16.585,220.11091415277775,1.2496528218908802,18.95,110715.10826985828,141.35,69.62,0.04
2022-04-29,13.302625,18.075,240.444946875,1.358754381184165,16.67,106639.62237384437,138.44,70.44,0.0
2022-04-30,13.333263888888888,19.585,261.1319732638889,1.468882650430471,15.71,109396.31822389353,123.67,75.56,0.0
2022-05-01,13.363594444444445,21.975,293.6649879166667,1.644392913250635,11.61,91125.02778040447,104.48,84.06,1.69
2022-05-02,13.393608333333331,23.455,314.1470834583333,1.7512084433308672,14.470000000000002,121766.87307240296,127.96,76.19,0.81
2022-05-03,13.423291666666666,23.77,319.07164291666663,1.7708026160995038,14.78,126605.23540379752,135.23,76.56,0.97
2022-05-04,13.45263611111111,24.87,334.5670600833333,1.8487082973617932,12.94,116480.93469601074,114.66,82.81,2.71
2022-05-05,13.481627777777778,23.895,322.14349575,1.7724120850886371,14.990000000000002,130203.70064799448,132.41,72.0,0.1
2022-05-06,13.510258333333333,23.685,319.990468625,1.753112295533456,10.330000000000002,89316.35947747949,97.91,78.0,1.88
2022-05-07,13.53851388888889,18.575,251.47789548611112,1.3720117401692495,8.63,58764.034288388175,92.98,75.5,0.19
2022-05-08,13.566383333333334,16.785,227.71174425,1.237249426585076,9.03,55791.40010467419,83.21,77.75,0.18
2022-05-09,13.593858333333332,16.61,225.79398691666665,1.221875319920822,13.22,81155.23928434787,140.38,68.94,0.06
2022-05-10,13.620925,18.885,257.23116862499995,1.386469714795434,18.53,129848.10244095889,145.29,57.5,0.03
2022-05-11,13.647572222222225,20.235,276.15862391666667,1.4826812908930076,16.410000000000004,123695.12617719849,150.05,62.62,0.0
2022-05-12,13.673788888888888,21.18,289.61084866666664,1.5489488811115508,15.22,120544.7622840224,144.98,69.19,0.29
2022-05-13,13.69956111111111,21.8,298.6504322222222,1.5912918540374976,11.240000000000002,91974.21896254006,97.89,80.81,5.42
2022-05-14,13.724877777777778,21.78,298.927838,1.586899377367457,13.94,114384.6153809989,123.06,67.38,0.38
2022-05-15,13.749727777777776,22.86,314.31877699999995,1.6625783702384411,14.36,124122.02762325275,115.02,61.5,0.16
2022-05-16,13.774102777777776,23.92,329.4765384444445,1.7365922402285934,15.66,142137.79279049515,141.65,71.0,1.28
2022-05-17,13.797983333333333,21.44,295.82876266666665,1.553850260726507,16.099999999999998,131435.2588448083,154.18,57.62,0.02
2022-05-18,13.82136388888889,22.405,309.6676579305556,1.6210411779991964,19.33,165465.93601939036,140.31,52.06,0.0
2022-05-19,13.844230555555557,25.85,357.8733598611111,1.8672038071214176,16.759999999999998,166074.21329695772,134.04,68.12,0.76
2022-05-20,13.866569444444444,25.98,360.25347416666665,1.873570828321112,13.259999999999998,132480.12475040575,137.85,63.06,0.02
2022-05-21,13.88837222222222,25.78,358.0422358888889,1.8562290517207245,12.400000000000002,123321.0713138792,104.81,77.69,4.06
2022-05-22,13.90962777777778,25.42,353.58273811111115,1.8275111603353875,12.7,124922.38860463515,127.01,67.81,0.62
2022-05-23,13.930322222222223,23.605,328.8252560555556,1.6945049528247331,8.829999999999998,80894.1336874912,73.91,89.19,20.32
2022-05-24,13.950444444444445,24.055,335.5779411111111,1.7243178234066616,10.61,99340.61142261908,104.27,76.75,1.88
2022-05-25,13.969983333333332,21.605,301.8214899166667,1.546530119935719,8.11,68390.67600087378,75.03,77.75,2.39
2022-05-26,13.988930555555555,22.825,319.29733993055555,1.6316472448950212,6.43,57440.84012912734,63.14,93.56,22.95
2022-05-27,14.007269444444445,23.515,329.3809409861111,1.678771161878842,9.91,91444.08083889598,131.12,73.19,1.41
2022-05-28,14.024997222222222,22.015,308.7603138472222,1.5696972805896774,14.57,126186.7645333184,156.02,68.5,0.02
2022-05-29,14.042094444444444,23.165,325.2851178055556,1.6496826802902542,14.69,134198.5660736648,137.41,64.31,0.12
2022-05-30,14.058558333333332,24.66,346.6840485,1.7540916653971752,12.96,126330.91566238285,112.54,74.5,1.27
2022-05-31,14.074375,24.37,342.99251875,1.7315156090412542,13.5,130339.94393921483,134.12,62.69,0.32
2022-06-01,14.089536111111112,26.4,371.9637533333333,1.8737309583372843,14.519999999999996,152192.7371732029,153.15,56.0,0.0
2022-06-02,14.104033333333332,26.57,374.7441656666666,1.883858281673564,14.480000000000004,153065.30574884944,137.95,63.81,1.25
2022-06-03,14.117852777777776,25.545,360.64054920833337,1.8094111336965588,12.09,123111.74893837977,137.57,70.62,2.72
2022-06-04,14.130991666666668,23.82,336.6002215,1.6856566447624872,10.78,102550.03058331594,144.06,65.0,0.21
2022-06-05,14.143436111111113,23.195,328.05700059722227,1.639983368806535,12.15,112748.43345861416,145.59,59.94,0.01
2022-06-06,14.155183333333332,23.155,327.76327008333334,1.6357965456705494,13.63,126474.11059125589,122.66,64.19,0.61
2022-06-07,14.166222222222222,24.22,343.1059022222222,1.7097006964924388,11.22,109069.94440691292,92.45,64.5,0.14
2022-06-08,14.176547222222222,25.58,362.6360779444444,1.8043885862350515,9.34,96032.52539104916,102.16,79.5,5.94
2022-06-09,14.18615,25.455,361.10844825,1.7943557624866506,11.010000000000002,112802.70426138103,129.13,71.0,0.9
2022-06-10,14.195025,23.185,329.111654625,1.6333187155359008,14.11,131836.73322175324,138.16,59.44,0.04
2022-06-11,14.20316388888889,25.41,360.9023944166667,1.7890380058120852,12.799999999999995,131224.46990828376,129.39,62.38,0.81
2022-06-12,14.210566666666669,27.77,394.6274363333334,1.9541796362800452,13.500000000000004,151412.74629778592,139.89,60.69,0.4
2022-06-13,14.217222222222222,28.9,410.8777222222222,2.032745887225978,14.079999999999998,164497.76310510616,144.9,59.69,0.36
2022-06-14,14.223130555555556,29.905,425.34271926388885,2.102561027840605,10.69,129342.69347609066,109.21,83.75,17.45
2022-06-15,14.228283333333334,29.795,423.9317019166667,2.094068504399102,14.099999999999998,174921.3735883974,140.24,79.12,2.23
2022-06-16,14.232680555555556,29.435,418.9389521527778,2.068127636610969,13.87,167482.32719101635,141.42,71.69,1.27
2022-06-17,14.236316666666664,29.295,417.05289675,2.057765409826278,14.639999999999995,177493.62729472588,140.23,73.44,0.99
2022-06-18,14.239191666666663,27.815,396.0631162083333,1.9534114471619703,13.29,149901.06302027786,153.2,58.44,0.15
2022-06-19,14.24130277777778,24.735,352.25862420833334,1.736849527460132,14.490000000000002,145381.69754512652,159.65,45.88,0.0
2022-06-20,14.242647222222224,24.055,342.6068789305556,1.688941642988107,19.090000000000003,186304.23187980373,154.97,48.25,0.01
2022-06-21,14.243222222222222,27.055,385.3503772222222,1.8994999570946025,18.71,208497.03671341308,148.04,42.81,0.05
2022-06-22,14.243033333333331,27.03,384.989191,1.8977699038828344,20.42,234215.98034314744,156.28,42.44,0.0
2022-06-23,14.242075,29.475,419.785160625,2.0695720251438083,14.69,180538.2736145968,131.62,55.94,0.09
2022-06-24,14.240352777777776,28.145,400.7947289305554,1.9764257556821605,11.669999999999998,133212.07745592456,123.12,63.56,1.13
2022-06-25,14.237863888888889,27.935,397.7347277361112,1.9620218466760484,12.849999999999998,145536.34797694947,136.64,58.69,0.12
2022-06-26,14.23461111111111,26.9,382.91103888888887,1.889760091795038,12.799999999999995,139535.0970556128,110.45,57.31,0.0
2022-06-27,14.230597222222222,27.16,386.5030205555556,1.9085636095151,11.8,129803.98393248196,84.38,65.88,0.55
2022-06-28,14.225822222222222,25.86,367.8797626666666,1.817821114030511,10.48,109691.8984757214,84.71,68.88,4.58
2022-06-29,14.220294444444445,26.565,377.7621219166666,1.8681047782648663,10.37,111412.96963893608,95.62,93.25,14.98
2022-06-30,14.214016666666666,26.86,381.7884876666666,1.8896840090943097,11.36,123295.71289770164,123.57,71.56,1.56
2022-07-01,14.206991666666664,26.715,379.539782375,1.8804121679525163,9.829999999999998,106009.05020877624,82.9,75.38,1.34
2022-07-02,14.199222222222222,27.635,392.3955061111111,1.9462333617647287,13.049999999999995,145421.6568461259,134.8,67.06,1.35
2022-07-03,14.190716666666669,28.485,404.22256425,2.0072981984701266,13.689999999999998,157057.37174194786,124.25,66.12,1.65
2022-07-04,14.181480555555556,27.96,396.51419633333336,1.971585399032737,12.760000000000003,143503.00148253018,131.4,63.5,1.4
2022-07-05,14.171519444444444,29.005,411.0449214861111,2.046710665973832,12.449999999999996,145045.76432477598,135.65,65.12,1.25
2022-07-06,14.160841666666666,28.745,407.0533937083333,2.029893467961238,12.43,143298.4758424303,108.77,71.62,7.48
2022-07-07,14.14945,28.53,403.6838085,2.016332790320472,12.86,146910.16738671795,119.16,69.94,1.31
2022-07-08,14.137355555555557,28.61,404.4697424444445,2.0237165209272203,13.060000000000002,149357.62247767654,111.81,81.12,9.01
2022-07-09,14.124566666666666,26.43,373.312297,1.8712078482643717,9.920000000000002,104613.8286210253,67.62,86.56,15.53
2022-07-10,14.111088888888888,26.95,380.2938455555556,1.9098455273157915,9.02,96809.13906391416,110.75,83.38,15.93
