Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2022-05-10,14.140025,24.705,349.329317625,1.7471680566335632,15.189999999999998,150062.77814160433,113.98,90.38,3.2
2022-05-11,14.175622222222222,26.775,379.552285,1.8888059783383997,13.09,140858.60511430522,124.2,91.38,6.39
2022-05-12,14.210663888888888,27.065,384.6116181527778,1.9045556359377225,12.35,134999.98490327082,141.59,88.31,1.86
2022-05-13,14.245133333333332,24.905,354.7750456666667,1.748316384075029,12.010000000000002,121392.70424924335,130.57,88.5,3.55
2022-05-14,14.279016666666667,23.205,331.34458175,1.625111906632226,16.69,157929.95299817505,148.27,63.94,0.07
2022-05-15,14.312294444444444,18.425,263.70402513888894,1.2873547334789477,6.75,50951.83032863493,60.23,80.12,15.17
2022-05-16,14.34495,18.395,263.87535525,1.2823328070157092,16.29,123324.38256422184,151.37,70.69,0.01
2022-05-17,14.376966666666668,17.915,257.5633578333333,1.246090389952447,15.39,113977.71855563436,84.44,76.06,6.26
2022-05-18,14.408330555555557,18.395,265.0412405694444,1.2766919754563284,10.63,81187.72637385517,97.46,84.69,1.63
2022-05-19,14.439025,21.705,313.399037625,1.5032178419249225,14.93,135121.77146180542,137.87,83.5,0.92
2022-05-20,14.469027777777775,18.88,273.17524444444444,1.3048561582691,5.440000000000001,43004.07257673877,59.72,86.38,9.32
2022-05-21,14.498327777777778,14.14,205.0063547777778,0.9752848891768744,8.44,50171.56865825408,89.19,81.88,5.15
2022-05-22,14.526905555555556,12.195,177.15561325000002,0.8394767869428489,14.089999999999998,72521.87426015722,151.38,71.94,0.0
2022-05-23,14.554747222222222,13.575,197.58069354166668,0.932685383863875,12.37,71145.73462913035,108.27,71.69,0.01
2022-05-24,14.581833333333332,15.185,221.42513916666667,1.0413642546090456,10.45,67481.59553039404,58.84,78.5,3.91
2022-05-25,14.608152777777777,17.065,249.28812715277775,1.1681832918642274,12.29,89511.48777855054,56.01,94.38,34.56
2022-05-26,14.633683333333334,18.05,264.1379841666666,1.2334556918342496,10.02,77460.84479666429,92.24,87.75,10.63
2022-05-27,14.65841111111111,17.79,260.77313366666664,1.2136376763587382,10.06,76909.09837637683,130.34,78.31,0.26
2022-05-28,14.682322222222222,18.535,272.1368423888889,1.262402480988097,13.13,104924.4772309939,134.59,79.19,0.0
2022-05-29,14.705402777777778,22.49,330.72450847222217,1.5293698744509057,14.64,142401.43845099024,102.66,83.62,3.24
2022-05-30,14.727633333333332,24.89,366.5707936666667,1.6900203472384112,11.759999999999998,126977.90004084053,142.44,80.69,3.22
2022-05-31,14.74900277777778,23.065,340.18574906944446,1.5638345417326704,6.809999999999999,68336.99559976456,70.01,88.12,30.78
2022-06-01,14.769494444444444,19.555,288.8174638611111,1.3240128207201858,8.21,70042.59577702463,129.02,81.0,5.45
2022-06-02,14.789094444444444,18.215,269.38335530555554,1.2316507997447068,14.009999999999998,111629.88345217294,160.05,68.5,0.0
2022-06-03,14.807791666666668,20.065,297.1183397916667,1.3550298688472004,15.19,133661.86754029905,162.3,66.44,0.0
2022-06-04,14.825575,19.315,286.355981125,1.3028162482736758,14.15,120144.59571874382,93.81,73.56,0.9
2022-06-05,14.842425,21.075,312.80410687500006,1.419916219889944,15.05,139747.4220291236,119.01,80.0,2.17
2022-06-06,14.858336111111113,21.84,324.50606066666666,1.4698819461802306,11.1,107039.96665241044,88.32,88.06,7.58
2022-06-07,14.873291666666669,21.325,317.1729447916667,1.433778108970498,10.490000000000002,98971.17193556926,146.95,74.69,0.04
2022-06-08,14.887286111111113,20.155,300.0532515694445,1.3538397696916251,7.710000000000001,68880.8100842199,111.62,81.5,6.17
2022-06-09,14.900305555555557,19.795,294.9515484722222,1.3284962463484158,13.95,122616.8226773382,139.84,70.19,0.01
2022-06-10,14.912341666666666,18.61,277.51867841666666,1.2479596039298546,6.980000000000002,57772.80878597853,61.07,79.25,3.91
2022-06-11,14.923386111111112,19.965,297.94540370833334,1.3378331064647042,11.17,99331.5550524013,71.48,84.5,0.45
2022-06-12,14.933427777777776,23.06,344.3648445555556,1.5441866625099472,13.279999999999998,136586.06253958808,123.91,83.88,4.09
2022-06-13,14.94246388888889,26.215,391.7166908472223,1.754396075167583,12.250000000000004,143403.70643766204,89.12,91.19,4.88
2022-06-14,14.950483333333333,28.21,421.7531348333333,1.8868955184280556,13.739999999999998,173272.7550961758,160.05,83.0,0.34
2022-06-15,14.957480555555556,28.765,430.2519281805556,1.923117993913488,10.55,135788.73032974493,126.59,84.94,4.64
2022-06-16,14.96345,25.6,383.06432,1.7108354022635155,14.700000000000005,168519.73569365765,158.43,78.38,0.1
2022-06-17,14.968391666666667,24.815,371.4406392083333,1.6578267426861155,11.59,128877.76269185492,162.05,74.44,0.0
2022-06-18,14.972294444444444,22.91,343.01526572222224,1.5301595947774649,11.32,116272.82661800698,165.66,71.12,0.0
2022-06-19,14.975161111111111,21.72,325.2604993333333,1.4504017578738717,16.080000000000002,156645.84072000324,164.98,73.06,0.0
2022-06-20,14.97698888888889,23.825,356.8267602777778,1.5907736980211864,17.169999999999995,183519.499158048,160.18,79.44,0.0
2022-06-21,14.977772222222224,27.26,408.2940707777777,1.8200303486759453,15.22,186150.8154141921,155.72,87.38,1.26
2022-06-22,14.97751388888889,25.75,385.6709826388889,1.7192439406851567,10.32,119224.74117967754,160.01,73.81,0.02
2022-06-23,14.97621388888889,24.24,363.0234246666666,1.6185666270421035,15.839999999999996,172235.17727808293,164.04,65.62,0.0
2022-06-24,14.973872222222225,23.45,351.1373036111111,1.5660611798996549,10.04,105578.33314390684,86.9,81.69,1.07
2022-06-25,14.97048888888889,24.745,370.4447475555555,1.652918631025187,10.77,119455.21756948452,78.2,88.81,9.88
2022-06-26,14.966072222222222,21.215,317.5052221944444,1.4175395978979122,7.689999999999998,73082.77760721353,161.09,74.25,0.65
2022-06-27,14.960619444444443,19.77,295.77144641666666,1.3214693464675686,14.92,132039.73372279963,155.55,62.75,0.0
2022-06-28,14.95413888888889,20.765,310.5226940277778,1.38857878439451,15.21,141258.29662705035,161.27,70.69,0.0
2022-06-29,14.946636111111111,24.305,363.2779906805556,1.626118400108237,16.25,176467.977851031,162.21,75.69,0.01
2022-06-30,14.93811111111111,25.115,375.1706605555556,1.6812701293484973,13.63,152774.33601459372,151.62,77.69,0.01
2022-07-01,14.928575,23.15,345.59651125,1.5507173323642744,5.359999999999999,55307.30405465214,66.29,83.75,5.19
2022-07-02,14.91803611111111,20.7,308.8033475,1.3875821083837183,13.68,126040.39242552411,133.32,73.5,0.0
2022-07-03,14.9065,22.195,330.84976750000004,1.4889477744608055,15.33,151209.3577362601,158.25,71.81,0.0
2022-07-04,14.893975,25.855,385.083723625,1.7359368469465,15.169999999999998,174012.86587720615,76.93,89.5,6.06
2022-07-05,14.880472222222222,29.28,435.7002266666667,1.967679490458225,13.790000000000004,179881.5892442546,157.5,86.62,4.83
2022-07-06,14.866,24.615,365.92659,1.6557917395398898,7.610000000000003,82794.74053522684,88.03,90.06,21.4
2022-07-07,14.850569444444446,24.875,369.4079149305556,1.6750199440537723,6.689999999999998,73401.58142176871,76.45,88.94,9.7
2022-07-08,14.834188888888889,23.875,354.1662597222222,1.609457731651433,4.530000000000001,47599.14890480399,62.92,94.31,52.07
2022-07-09,14.816877777777778,22.65,335.60228166666667,1.5286621337978683,10.98,109197.8126471878,140.37,83.12,0.1
2022-07-10,14.798638888888888,22.625,334.8192048611111,1.528856820540928,12.409999999999997,122979.83631406748,150.27,80.5,0.0
2022-07-11,14.779491666666669,24.59,363.4277000833333,1.6637920000631503,10.96,117738.3844927987,96.66,88.5,6.94
2022-07-12,14.759447222222224,23.15,341.68120319444444,1.5684869257938558,12.48,125873.92110692982,156.84,80.06,0.04
2022-07-13,14.738519444444444,23.845,351.4399961527777,1.6178694264292717,13.87,143685.02271550763,154.05,79.88,0.75
2022-07-14,14.716722222222222,24.405,359.16160583333334,1.6583176356450149,11.43,120830.68105450692,140.62,85.69,2.81
2022-07-15,14.694069444444445,24.05,353.39237013888885,1.6367147365764532,7.34,76229.89337041827,70.66,92.0,37.59
2022-07-16,14.670575,22.78,334.1956985,1.5527680407891309,3.539999999999999,34712.12886141318,53.75,91.88,2.58
2022-07-17,14.646255555555555,24.42,357.6615606666667,1.6673203541595387,8.52,89262.38064348511,127.45,85.19,0.24
2022-07-18,14.621127777777778,24.23,354.2699260555556,1.657190906766198,14.28,147935.82646684258,156.8,79.25,0.01
2022-07-19,14.595205555555555,25.595,373.5642861944444,1.753658069602004,13.629999999999995,148628.2680827599,152.5,83.19,0.03
2022-07-20,14.568505555555555,25.745,375.0661755277778,1.7671682178946897,10.989999999999998,120102.09748806538,151.66,81.62,0.1
2022-07-21,14.541041666666668,26.19,380.82988125,1.8011089301832457,15.439999999999998,171003.03872566682,152.84,81.56,0.24
2022-07-22,14.512833333333331,24.51,355.709545,1.6888500981889591,16.06,165814.78933414593,134.96,80.62,5.61
2022-07-23,14.483894444444443,28.065,406.4904975833333,1.9376694650494937,15.81,186164.819834661,140.51,86.31,2.93
2022-07-24,14.454244444444443,26.455,382.3870367777778,1.8302582401785863,7.59,83901.61635594662,126.09,82.12,17.91
2022-07-25,14.42389722222222,20.275,292.4445161805555,1.405653388098416,10.609999999999998,89509.98425821753,86.69,79.38,0.84
2022-07-26,14.392869444444443,20.895,300.7390070416667,1.4517605457795169,9.97,86310.23546813916,110.24,85.31,0.46
2022-07-27,14.361180555555556,24.175,347.1815399305555,1.6833574305733527,12.19,121557.13870855416,123.34,80.62,2.11
2022-07-28,14.328844444444444,22.86,327.557384,1.5953833603702243,9.52,89364.59798941655,127.09,78.38,0.0
2022-07-29,14.29587777777778,20.715,296.1391081666667,1.4490191034089857,14.35,121503.41582288142,140.75,74.56,0.0
2022-07-30,14.26229722222222,21.055,300.2926680138889,1.4762698934077747,16.310000000000002,139707.00035240027,141.57,72.44,0.01
2022-07-31,14.228122222222222,21.505,305.97576838888887,1.5114432996936429,14.71,128078.81172505232,125.02,82.62,0.17
2022-08-01,14.193366666666668,24.97,354.40836566666667,1.759272524019436,14.439999999999998,145273.55887955433,146.94,80.62,0.53
2022-08-02,14.158047222222224,26.27,371.9319005277778,1.855481874560149,10.7,112688.74939803511,135.66,83.88,1.15
2022-08-03,14.122180555555556,26.22,370.28357416666665,1.856653786350668,8.400000000000002,87850.75305112032,60.41,92.94,21.67
