Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2022-05-20,14.606833333333332,22.72,331.8672533333333,1.555436382515033,14.080000000000002,136506.4351757881,104.14,88.44,1.82
2022-05-21,14.637902777777777,18.505,270.8743909027778,1.2641838302200623,7.690000000000001,60982.20752499887,73.68,86.75,18.68
2022-05-22,14.66821111111111,13.57,199.04762477777777,0.925129853750249,8.839999999999998,51619.811239252325,100.86,78.62,5.51
2022-05-23,14.697741666666667,11.865,174.388704875,0.8072668760336763,10.55,54081.83482396755,113.3,77.44,0.0
2022-05-24,14.726477777777776,13.09,192.7695941111111,0.8888751402424808,15.0,85164.51431725558,142.5,71.31,0.21
2022-05-25,14.7544,14.885,219.619244,1.0088515968117986,12.669999999999998,82110.47340088901,53.5,89.62,6.01
2022-05-26,14.781491666666668,19.555,289.0520695416667,1.3229382014332112,9.25,79043.48400751366,65.69,87.62,4.1
2022-05-27,14.807738888888888,18.675,276.53452375,1.261164863868105,6.369999999999999,52168.40201331431,75.88,86.56,4.74
2022-05-28,14.833119444444446,17.15,254.38799847222225,1.1561964470274195,12.64,95390.73208293064,146.24,72.75,0.08
2022-05-29,14.857622222222222,20.76,308.4442373333333,1.3972626096893026,13.88,127217.08322858249,142.42,80.38,0.01
2022-05-30,14.881227777777776,24.11,358.7864017222222,1.62016201620162,12.420000000000002,132625.28504312612,147.74,79.75,0.06
2022-05-31,14.903919444444444,26.265,391.4514442083333,1.7622881080312394,10.79,125901.18986745882,129.91,79.5,0.21
2022-06-01,14.925683333333334,21.475,320.52904958333335,1.4387950970419,8.45,80851.54507533573,80.04,84.44,27.28
2022-06-02,14.946505555555555,18.245,272.69899386111115,1.2206866636608855,11.89,96924.83129586549,139.24,74.25,0.25
2022-06-03,14.966366666666666,17.66,264.30603533333334,1.179979108712647,15.44,122152.04802291888,156.54,68.81,0.0
2022-06-04,14.985258333333334,14.955,224.104538375,0.9979807933463498,15.45,103770.36999775328,121.87,69.56,0.01
2022-06-05,15.003166666666669,16.55,248.3024083333333,1.103100456570279,9.38,69887.04852340439,70.45,77.94,1.6
2022-06-06,15.020072222222224,19.77,296.9468278333334,1.3162386776509802,9.759999999999998,87062.3778602252,65.23,90.75,28.31
2022-06-07,15.035969444444444,18.135,272.677305875,1.206107798170646,9.61,78801.37802792128,105.84,83.31,6.48
2022-06-08,15.050844444444444,15.275,229.9016488888889,1.014893221199844,11.830000000000002,81868.66217406854,68.71,87.19,19.23
2022-06-09,15.064683333333331,17.56,264.53583933333334,1.165640167234404,12.220000000000002,97397.03300292572,143.46,79.81,0.26
2022-06-10,15.077480555555557,17.76,267.77605466666665,1.1779156295085405,14.88,120152.67454260624,106.21,78.62,3.93
2022-06-11,15.08922222222222,18.575,280.2823027777778,1.2310110969566213,12.69,107338.16073084816,123.99,83.31,1.03
2022-06-12,15.0999,21.39,322.98686100000003,1.4165656726203486,11.36,110807.0145508438,133.55,83.62,0.41
2022-06-13,15.109505555555556,21.61,326.5164150555556,1.4302254908701697,14.22,140308.7851417313,131.84,85.38,37.75
2022-06-14,15.118033333333331,23.175,350.3604225,1.5329374852549165,12.53,132736.81928365587,112.55,90.0,0.4
2022-06-15,15.125475,26.69,403.69892775,1.7645726828413653,14.760000000000002,180253.19491746245,151.88,86.81,0.86
2022-06-16,15.131827777777778,26.575,402.1283231944444,1.7562319893058376,10.43,126931.77603968247,154.84,77.56,2.63
2022-06-17,15.137080555555556,21.75,329.23150208333334,1.4368688810351475,11.46,114224.1983731484,163.4,74.81,0.0
2022-06-18,15.141233333333334,16.865,255.35690016666672,1.1138458557977444,12.87,99521.6098399433,156.5,69.62,0.0
2022-06-19,15.144280555555556,18.025,272.9756570138889,1.1902183094057692,17.63,145765.5428959508,144.05,63.5,0.0
2022-06-20,15.146225,22.56,341.69883600000003,1.4894800519601417,15.82,163751.15739058534,119.19,77.25,0.02
2022-06-21,15.147058333333334,26.185,396.62572245833337,1.7287185025475245,17.610000000000003,211591.6502601968,161.27,84.25,0.37
2022-06-22,15.146783333333332,25.425,385.10696625,1.6785742187285086,10.87,126812.28485254744,160.67,77.56,0.8
2022-06-23,15.1454,20.72,313.812688,1.3680721539213223,13.900000000000002,132128.3594384186,162.43,65.88,0.0
2022-06-24,15.142908333333336,22.27,337.2325685833334,1.4706554058032664,18.300000000000004,186904.5565544339,161.78,63.31,0.0
2022-06-25,15.13931111111111,23.66,358.1961008888889,1.56281879844819,14.86,161166.87048547465,119.62,72.88,0.14
2022-06-26,15.13461388888889,23.22,351.4257345,1.534231409566848,9.48,100842.41553116584,126.37,77.88,0.4
2022-06-27,15.128816666666664,17.845,269.9737334166666,1.179537064476292,12.010000000000002,98106.8824865845,152.09,71.25,0.0
2022-06-28,15.121925,18.005,272.27025962500005,1.190655290249092,19.05,156867.2419842096,159.52,67.38,0.0
2022-06-29,15.113941666666667,20.59,311.1960589166667,1.3623183451482157,14.62,137527.38913905597,127.65,77.44,7.8
2022-06-30,15.104880555555557,23.74,358.5898643888889,1.5716774397973283,15.7,170076.75199884875,148.37,75.31,0.0
2022-07-01,15.094741666666666,23.185,349.9715855416667,1.5359653389232124,11.830000000000002,124989.40775690004,69.26,89.44,29.13
2022-07-02,15.083533333333332,20.29,306.04489133333334,1.345175533584085,16.36,151043.3178278711,145.72,77.25,0.01
2022-07-03,15.071269444444445,22.125,333.45183645833333,1.4680249783574597,15.85,159309.6964260652,156.02,67.44,0.0
2022-07-04,15.057955555555557,23.635,355.8947795555555,1.5696021888761642,15.849999999999998,169881.81440415693,112.18,76.62,9.37
2022-07-05,15.0436,24.91,374.736076,1.6558536520513707,11.759999999999998,132591.16896612788,107.35,88.69,116.28
2022-07-06,15.028219444444444,21.78,327.3146195,1.449273487156293,6.080000000000002,59814.50409932538,63.77,86.81,32.61
2022-07-07,15.011819444444445,21.455,322.07858618055553,1.4292071710161711,14.35,138764.0862224694,126.7,75.5,0.01
2022-07-08,14.99441388888889,22.225,333.2508486805556,1.4822186558735115,11.209999999999996,112030.52387132875,83.81,83.88,1.99
2022-07-09,14.976019444444445,19.09,285.8922111944444,1.274704541538352,15.3,131014.73580421443,155.76,72.06,0.0
2022-07-10,14.956644444444445,18.855,282.00753100000003,1.2606437272769144,19.19,161882.47895055308,157.64,66.81,0.0
2022-07-11,14.936302777777778,21.3,318.1432491666667,1.426055719203157,13.659999999999998,129821.46804580493,95.11,82.12,4.25
2022-07-12,14.91501388888889,22.265,332.08278423611114,1.4927911006899277,9.37,92819.58241553028,136.9,83.62,0.85
2022-07-13,14.89278611111111,20.15,300.08964013888885,1.35300405509528,10.720000000000002,95819.02248261376,106.91,83.0,2.84
2022-07-14,14.869641666666666,20.1,298.8797975,1.3517474361913004,14.279999999999998,126927.36560099437,148.4,71.25,0.01
2022-07-15,14.845588888888887,20.18,299.5839837777778,1.359326339361561,12.52,111365.4165479456,85.77,82.69,18.2
2022-07-16,14.82065,22.355,331.3156307499999,1.5083683913998374,10.45,102625.54176008722,95.07,85.19,2.7
2022-07-17,14.794836111111112,22.8,337.3222633333333,1.5410782403244676,8.240000000000002,82245.54289160168,72.16,92.75,29.17
2022-07-18,14.768169444444446,24.595,363.2231274861112,1.6654061353048906,13.05,140004.07208353994,148.15,80.56,0.33
2022-07-19,14.74066388888889,25.555,376.6976656805556,1.7336396917144732,13.09,145371.61487763343,139.91,80.19,0.28
2022-07-20,14.712336111111112,27.095,398.6307469305556,1.84165178088456,10.629999999999995,124685.42547297478,125.12,84.88,2.34
2022-07-21,14.683202777777778,25.85,379.5607918055556,1.760515085926795,11.260000000000002,125507.744994386,151.02,84.25,65.44
2022-07-22,14.653286111111113,25.215,369.4826092916667,1.7207744262142186,12.869999999999996,139359.81912216946,149.43,78.94,0.72
2022-07-23,14.622597222222222,25.57,373.8998109722222,1.748663360647096,11.700000000000005,127936.84029309687,111.1,87.75,2.87
2022-07-24,14.591158333333333,24.485,357.2645117916666,1.6780710236050485,9.77,101860.12576178552,76.0,92.75,77.0
2022-07-25,14.558988888888887,19.89,289.578289,1.3661663012312364,11.04,93088.55339167918,139.26,78.44,0.01
2022-07-26,14.526102777777778,20.07,291.53888275,1.3816506950992629,13.36,113157.16325584252,138.8,72.81,0.0
2022-07-27,14.492519444444444,21.48,311.29931766666664,1.4821439489759756,12.920000000000002,116577.4549461956,88.02,86.38,3.1
2022-07-28,14.458255555555557,21.725,314.10560194444446,1.5026017431025565,9.669999999999998,87831.04470442042,121.5,83.19,2.49
2022-07-29,14.423330555555555,20.255,292.14456040277776,1.40432197140474,12.89,108629.12321788172,131.24,79.75,0.09
2022-07-30,14.387763888888887,20.35,292.7909951388889,1.4143962993245611,15.16,127726.26567172675,131.26,75.81,0.0
2022-07-31,14.351569444444443,21.88,314.0123394444444,1.524571935125175,14.56,131231.3153700467,127.55,78.62,0.13
2022-08-01,14.314766666666667,23.385,334.7508185,1.633627745707812,11.010000000000002,105517.19447983612,88.61,88.06,4.58
2022-08-02,14.277375,22.045,314.74473187500007,1.5440513399697071,12.61,113331.83444092158,145.84,76.5,0.09
2022-08-03,14.239408333333332,25.845,368.017508375,1.815033279121499,15.03,157524.9683615604,80.34,92.5,10.15
2022-08-04,14.200886111111112,24.82,352.4659932777778,1.7477782587510675,7.34,73478.2360115159,83.82,93.12,3.59
2022-08-05,14.161825,25.305,358.364981625,1.7868459750067522,9.27,94092.39397041318,101.16,86.25,1.5
2022-08-06,14.122241666666667,26.395,372.75656879166667,1.8690375524659977,10.85,114232.23613670026,134.51,86.12,1.38
2022-08-07,14.082152777777775,26.63,375.0077284722223,1.891046093607453,9.239999999999998,97591.32999357102,86.69,89.88,25.65
2022-08-08,14.041575,25.025,351.390414375,1.7822074802862211,8.970000000000002,88517.3029476339,81.97,91.38,13.81
2022-08-09,14.000525,19.825,277.560408125,1.416018327884133,9.829999999999998,76398.59157207746,115.48,79.25,0.27
2022-08-10,13.959019444444444,20.215,282.18157806944447,1.4481676224074158,14.73,116042.29586108869,139.07,78.44,0.01
2022-08-11,13.917069444444444,19.715,274.3750240972222,1.4166057070204556,11.21,85610.68624296402,137.34,75.12,0.06
2022-08-12,13.874694444444446,17.98,249.46700611111115,1.2958843938505151,15.659999999999998,108407.24211142652,136.48,66.06,0.0
2022-08-13,13.831911111111111,14.8,204.7122844444445,1.069989525027473,5.339999999999998,30241.08346069635,25.88,80.31,12.84
2022-08-14,13.788730555555556,18.095,249.50707940277775,1.3123035457901109,7.950000000000001,54702.13564445729,52.52,88.38,4.75
2022-08-15,13.745169444444445,20.55,282.46323208333337,1.4950706925119754,12.44,96596.724071854,114.28,80.19,0.02
2022-08-16,13.701238888888888,20.29,277.9981370555555,1.4808879813382652,14.42,109849.22068562868,126.05,82.0,0.42
2022-08-17,13.656958333333334,20.305,277.3045389583333,1.486787870652018,14.29,108236.36214738364,126.18,78.0,0.33
2022-08-18,13.612338888888887,20.72,282.04766177777776,1.5221484102862557,14.48,111186.9491589994,129.66,73.69,0.03
2022-08-19,13.567394444444446,21.17,287.2217403888889,1.5603585557040145,15.02,117061.39337207132,125.28,77.06,0.08
2022-08-20,13.522138888888888,22.025,297.8251090277777,1.6288103665388245,11.489999999999998,92545.80259428054,87.8,88.19,3.03
2022-08-21,13.476583333333332,21.76,293.25045333333327,1.6146525763824906,9.580000000000002,75720.59153330597,101.61,88.88,4.28
2022-08-22,13.430741666666666,21.755,292.18578495833333,1.619791411370308,10.23,80290.60095531779,114.66,83.94,0.2
2022-08-23,13.384625,20.065,268.562500625,1.4991081184568116,13.87,99714.4359043997,126.75,77.62,0.01
2022-08-24,13.338247222222224,22.02,293.70820383333336,1.6508915776664803,14.119999999999996,110631.68638200915,129.54,74.94,0.0
2022-08-25,13.291619444444445,21.53,286.16856663888893,1.619817667063812,11.02,83832.30681136656,68.98,84.06,5.38
2022-08-26,13.244752777777778,20.455,270.9214180694444,1.5443851873414858,8.650000000000002,62077.36863845151,76.97,86.88,1.07
