Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2021-04-22,13.182341666666666,9.285,122.398042375,0.70435133869109,13.13,42370.32129349704,118.25,64.75,0.0
2021-04-23,13.217969444444446,9.775,129.20565131944446,0.7395235736536268,16.99,58032.27921343484,118.77,68.0,0.0
2021-04-24,13.253341666666666,11.255,149.16636045833332,0.8492197879654251,13.93,55077.9033455227,57.38,85.5,2.77
2021-04-25,13.288447222222224,14.27,189.6261418611111,1.0738651221894706,11.36,57250.696141863984,92.51,84.56,0.99
2021-04-26,13.323275,15.9,211.8400725,1.193400271329684,15.56,87833.19822509306,143.48,66.06,0.0
2021-04-27,13.357813888888888,19.01,253.93204202777773,1.423137061058519,19.84,134593.64568679623,140.95,76.81,0.0
2021-04-28,13.392055555555556,22.115,296.1653086111112,1.6513521698187563,15.97,126682.41679355133,127.2,81.31,0.0
2021-04-29,13.425986111111111,24.225,325.2445135416667,1.8043367391801348,11.69,102094.10815726635,108.49,79.31,0.0
2021-04-30,13.459594444444445,21.25,286.01638194444445,1.5787994272569712,10.56,81304.91435488319,145.32,65.75,0.0
2021-05-01,13.49287222222222,16.49,222.4974629444445,1.2221267442851516,14.900000000000002,89463.46915088478,149.23,59.19,0.0
2021-05-02,13.525802777777775,19.605,265.1733634583333,1.4494518604256188,17.269999999999996,123884.0175586226,128.61,73.69,0.01
2021-05-03,13.558377777777778,21.09,285.94618733333334,1.555495823000785,14.56,112897.2624992736,65.95,87.88,6.75
2021-05-04,13.590583333333331,24.845,337.65804291666666,1.828104018100768,13.29,121974.81649800812,129.48,87.12,3.35
2021-05-05,13.622408333333333,23.24,316.58476966666666,1.7060125809863529,12.720000000000002,109713.73979482634,123.68,80.38,5.34
2021-05-06,13.653841666666668,16.745,228.63357870833332,1.2263947692377175,8.850000000000001,55254.56229559511,122.8,65.69,3.09
2021-05-07,13.684869444444445,13.45,184.06149402777777,0.9828372900890338,10.840000000000002,54608.83093646341,65.2,75.56,1.52
2021-05-08,13.715477777777778,14.88,204.08630933333333,1.0849056985903192,15.96,89348.58839388768,133.24,72.19,0.04
2021-05-09,13.745655555555556,18.935,260.27398794444446,1.377526151697223,17.03,121854.30219937649,138.96,69.94,0.0
2021-05-10,13.77538888888889,19.35,266.55377500000003,1.4046790370911086,13.320000000000002,97818.93409375905,60.16,84.06,1.67
2021-05-11,13.804669444444444,16.06,221.70299127777776,1.1633744701118642,9.54,58395.0366000059,104.7,73.62,0.33
2021-05-12,13.833477777777777,12.535,173.40264394444443,0.9061351166614324,7.909999999999998,37948.40885392373,42.7,77.25,4.58
2021-05-13,13.861802777777775,13.73,190.32255213888888,0.9904916568291484,16.64,87799.75133405153,129.59,68.75,0.03
2021-05-14,13.889633333333334,14.065,195.35769283333332,1.012625723261233,18.03,97846.88880617266,118.13,61.44,0.0
2021-05-15,13.916955555555557,15.375,213.97319166666665,1.1047674858645649,18.99,113098.94803523396,141.84,58.69,0.0
2021-05-16,13.943755555555557,16.445,229.3050601111111,1.17938097340267,15.97,102124.1161645713,96.27,67.0,0.0
2021-05-17,13.970022222222225,18.26,255.09260577777775,1.3070845349804578,13.14,93652.70548144657,111.9,73.25,0.0
2021-05-18,13.99573888888889,18.955,265.2892306388889,1.3543407854692278,15.07,111907.3726939712,141.32,71.88,0.0
