Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2022-05-12,14.196936111111112,22.295,316.5206905972222,1.5704092647533296,19.57,175880.44423100323,97.69,42.31,0.09
2022-05-13,14.231180555555556,14.97,213.04077291666667,1.05191554148022,19.52,118362.31936601843,141.57,33.25,0.0
2022-05-14,14.264838888888889,15.355,219.0366011388889,1.0764229529406222,17.97,112295.31442701744,127.03,37.69,0.0
2022-05-15,14.297897222222222,16.07,229.7672083611111,1.12394149644771,14.240000000000002,93562.15225164276,137.88,47.81,0.72
2022-05-16,14.33033611111111,18.805,269.48197056944446,1.3122511470906415,23.090000000000003,178336.40994920186,150.01,42.19,0.0
2022-05-17,14.362141666666666,20.595,295.788307625,1.4339783354037845,18.03,153188.4180029851,137.3,53.0,0.0
2022-05-18,14.393297222222223,20.63,296.9337216944445,1.4333060508296012,19.48,166509.40294183546,146.95,46.25,0.01
2022-05-19,14.423783333333336,21.785,314.2221199166667,1.5103526929481053,21.309999999999995,193165.42310244037,118.46,47.25,0.74
2022-05-20,14.453586111111113,9.95,143.81318180555556,0.6884104694509685,7.92,32925.28072108929,59.09,49.44,0.62
2022-05-21,14.48268888888889,8.425,122.0166538888889,0.5817289913935565,10.83,38276.01928503003,112.73,49.5,0.62
2022-05-22,14.511075,9.16,132.921447,0.6312419996450986,20.07,70027.56969122488,125.62,40.0,0.02
2022-05-23,14.538727777777778,7.575,110.13086291666666,0.521022204678615,8.07,25842.764943057653,24.48,77.0,16.26
2022-05-24,14.565633333333333,9.34,136.04301533333333,0.6412354194462307,7.3,28930.669112033112,70.41,86.19,7.17
2022-05-25,14.591772222222222,12.57,183.41857683333333,0.8614443680019067,12.839999999999998,68730.00578614791,131.85,67.0,0.37
2022-05-26,14.617127777777778,15.685,229.26964919444444,1.0730562281767622,23.21,155565.66363900152,156.57,55.25,0.0
2022-05-27,14.64168888888889,19.335,283.0970546666666,1.3205443816438902,28.15,233364.56968818285,155.45,43.88,0.46
2022-05-28,14.665436111111111,21.31,312.5204435277778,1.4530764607712354,21.66,198546.3292641788,130.09,54.38,0.63
2022-05-29,14.688358333333332,21.24,311.980731,1.446043153222819,14.88,136374.7467558926,129.73,56.62,0.64
2022-05-30,14.710436111111113,15.63,229.92411641666664,1.0625109875698602,8.219999999999999,55604.74937019522,98.23,54.0,0.79
2022-05-31,14.731658333333334,14.53,214.05099558333336,0.986311226559128,13.64,86022.73690397094,129.09,56.12,0.0
2022-06-01,14.752008333333334,14.09,207.8557974166667,0.955124189305298,11.579999999999998,71015.28695221274,115.29,52.94,1.23
