Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2020-06-02,14.66875,20.19,296.1620625,1.3763953983809118,19.94,173251.77090135936,156.56,73.25,0.0
2020-06-03,14.685572222222222,23.895,350.91174825,1.6271071796468417,13.869999999999996,142953.64667758238,128.2,86.38,3.18
2020-06-04,14.701513888888888,23.49,345.33856125,1.5977946337725992,9.760000000000002,99103.03325751449,95.3,91.38,6.03
2020-06-05,14.716561111111112,24.66,362.9103970000001,1.675663207852378,11.420000000000002,121983.7129264369,129.34,80.06,0.23
2020-06-06,14.730708333333334,24.81,365.46887375000006,1.6842367276975254,11.220000000000002,120808.3292197218,147.36,76.44,0.02
2020-06-07,14.743941666666668,20.455,301.58732679166667,1.3873494932664432,12.21,108585.62898745586,158.57,71.62,0.0
2020-06-08,14.756255555555557,21.49,317.1119318888889,1.456331514393519,15.14,141691.76891791826,146.73,67.69,0.0
2020-06-09,14.767636111111113,24.23,357.8198229722222,1.6407500711484515,16.46,173954.3147517475,137.35,81.19,2.19
2020-06-10,14.778077777777778,25.3,373.8853677777778,1.7119953203957514,12.86,142110.89719722123,112.2,86.75,6.46
2020-06-11,14.787572222222224,20.74,306.6942478888889,1.402529075653993,11.1,100682.84616569497,156.62,70.94,0.11
2020-06-12,14.79611388888889,20.215,299.1034422638889,1.366237118192258,13.590000000000002,120286.95444730362,161.81,68.88,0.01
2020-06-13,14.80369722222222,17.14,253.73537038888887,1.1578188706987802,7.4,55592.0796475217,82.32,78.31,2.6
2020-06-14,14.810311111111112,16.18,239.63083377777775,1.092482114562827,11.4,80917.3641614556,100.62,69.81,0.05
2020-06-15,14.815955555555556,17.58,260.46449866666666,1.186558634985106,13.42,103576.37690345835,105.83,78.81,0.09
2020-06-16,14.820625,19.295,285.96395937499994,1.3019019103445366,14.35,121635.32417532752,133.6,74.12,0.0
2020-06-17,14.824316666666666,20.53,304.3432211666667,1.3848867682490145,12.919999999999998,116581.8185883804,108.81,75.56,0.01
2020-06-18,14.827025,21.04,311.960606,1.4190304528386508,11.18,103425.01066540107,99.84,84.81,1.35
2020-06-19,14.828752777777778,22.73,337.05755063888887,1.5328328916551195,14.12,141147.5608702809,142.25,74.56,0.49
2020-06-20,14.829491666666666,24.19,358.72540341666667,1.63120898165199,16.300000000000004,173422.72140720458,139.8,67.31,0.05
2020-06-21,14.829247222222222,25.025,371.1019117361111,1.687543516200811,13.25,145833.79283501313,115.35,82.81,9.19
2020-06-22,14.828019444444443,23.52,348.75501733333334,1.5861862124015589,10.380000000000004,107357.1466628829,131.48,85.12,4.47
2020-06-23,14.825805555555556,21.65,320.9786902777778,1.4602916461350235,7.300000000000001,69478.00768321428,101.65,82.0,8.45
2020-06-24,14.822608333333331,20.165,298.8978970416666,1.3604218330894304,10.19,90292.49884472448,126.99,73.88,0.68
2020-06-25,14.818433333333331,20.585,305.0374501666667,1.3891482005520153,14.11,127559.39831129496,140.41,71.25,0.23
2020-06-26,14.813280555555554,22.115,327.5956994861112,1.4929171102282284,13.77,133645.2033254451,107.34,81.19,1.58
2020-06-27,14.807152777777778,22.355,331.01390034722226,1.5097433203735056,7.390000000000001,72442.29876345937,79.64,91.56,4.75
2020-06-28,14.800058333333332,24.09,356.53340525,1.6276962872331022,8.46,89282.02110755497,92.5,81.69,1.53
2020-06-29,14.792,25.195,372.68444,1.7032855597620336,11.77,129770.09348673918,125.51,77.69,1.32
2020-06-30,14.78298611111111,25.045,370.2398871527778,1.6941773341162656,10.87,118988.4791218096,120.04,65.56,0.23
2020-07-01,14.773019444444444,24.625,363.7856038194445,1.6668901095409103,11.810000000000002,126938.88268845006,147.64,72.12,1.24
2020-07-02,14.76211111111111,24.12,356.06212,1.633912644231855,13.5,141918.17160324,156.47,65.94,0.0
2020-07-03,14.750269444444443,24.995,368.6829847638889,1.6945453162155042,14.57,158468.3718517106,140.62,61.62,0.0
2020-07-04,14.737497222222222,26.24,386.7119271111111,1.7804922779176848,13.82,157524.9469022296,141.18,71.25,0.62
2020-07-05,14.723811111111113,26.185,385.5429939444445,1.7784118393260198,13.009999999999998,147706.7509136676,144.54,65.31,1.16
2020-07-06,14.709216666666666,26.325,387.22012875,1.7896942166646084,13.19,150252.6918715979,125.27,63.44,1.22
2020-07-07,14.693722222222222,26.83,394.2325672222222,1.825949857648958,12.2,141342.94954269193,133.45,80.06,5.67
2020-07-08,14.677344444444444,25.82,378.9690335555556,1.75917381360994,13.340000000000003,148401.07116780672,153.7,72.31,1.21
2020-07-09,14.660091666666666,26.695,391.35114704166665,1.820929950983708,13.590000000000003,155938.2834802289,136.01,68.69,0.74
2020-07-10,14.641975,26.35,385.81604125,1.7996206112904851,10.779999999999998,121794.78638733644,119.06,81.31,4.88
2020-07-11,14.623005555555556,24.355,356.1433003055556,1.66552627689778,11.310000000000002,117802.36908126871,148.7,71.5,0.21
2020-07-12,14.6032,22.13,323.16881600000005,1.5154212775282132,9.02,85136.15132275404,89.09,78.44,3.14
2020-07-13,14.582569444444443,21.785,317.68127534722225,1.4939068236907649,12.43,115166.66617751056,138.55,71.69,0.17
2020-07-14,14.561125,22.7,330.53753750000004,1.558945479830714,13.94,134186.39541234373,148.98,64.12,0.0
2020-07-15,14.538883333333334,24.285,353.07678175,1.6703483646726651,14.729999999999997,151228.25937287245,149.45,66.38,0.0
2020-07-16,14.515858333333332,24.685,358.3239629583333,1.700553934403925,11.09,115366.60582139196,107.95,74.44,0.04
2020-07-17,14.49206388888889,25.015,362.5189781805556,1.7261171487919729,11.71,123040.44067367403,132.3,63.12,0.0
2020-07-18,14.46751388888889,25.595,370.2960179861111,1.769136024099971,15.710000000000004,168325.19664859376,139.73,64.19,0.04
2020-07-19,14.442225,27.44,396.294654,1.89998424757958,12.68,145144.82954550022,131.33,76.19,2.9
2020-07-20,14.416208333333334,26.035,375.3259839583333,1.805953368459691,10.049999999999995,108756.6293108988,140.79,73.25,5.58
2020-07-21,14.389483333333333,25.725,370.16945875,1.7877639804069871,11.349999999999998,120912.62273826168,134.88,76.75,8.31
2020-07-22,14.362063888888889,23.415,336.28772595833334,1.6303367107365991,6.809999999999999,65781.68266767853,65.2,88.62,9.34
2020-07-23,14.333963888888889,24.595,352.5438418472222,1.715854748250416,7.690000000000001,77720.53373967312,84.02,84.44,5.73
2020-07-24,14.30520277777778,24.15,345.47064708333335,1.6881969710709368,11.459999999999996,113271.27397401152,135.46,68.44,0.07
2020-07-25,14.275791666666668,24.285,346.687600625,1.701131577641637,13.15,130165.01094639668,140.34,64.0,0.0
2020-07-26,14.245747222222224,25.005,356.2149092916667,1.7552606830615531,14.610000000000005,148278.27954412348,145.2,64.5,0.0
2020-07-27,14.21508888888889,26.585,377.9081381111112,1.8701958325972872,12.010000000000003,129035.38655751637,121.06,78.88,11.5
2020-07-28,14.183825,24.12,342.113859,1.700528595072204,9.72,94332.27158318028,150.46,68.12,1.12
2020-07-29,14.15197777777778,23.65,334.69427444444443,1.6711445121922492,14.040000000000004,133003.33303478558,147.92,59.06,0.01
2020-07-30,14.11956111111111,22.125,312.3952895833333,1.5669750515537744,7.509999999999998,66251.48341906878,43.02,72.69,5.96
2020-07-31,14.086588888888889,23.29,328.0766552222222,1.653345617147279,8.98,83001.79815218307,111.41,71.31,0.89
2020-08-01,14.053077777777778,23.85,335.165905,1.6971371237775514,9.279999999999998,87419.68858323459,91.09,83.5,13.1
2020-08-02,14.019044444444445,21.845,306.2460258888888,1.5582374452530448,6.010000000000002,51605.18530740722,70.53,82.25,8.73
2020-08-03,13.9845,21.84,305.42148,1.5617290571704388,10.18,86960.95374854158,103.36,83.44,11.39
2020-08-04,13.94946111111111,20.27,282.7555767222222,1.4531027283809848,7.68,60584.26247326361,97.8,79.94,1.63
2020-08-05,13.913944444444445,17.605,244.95499194444443,1.2652774394991435,12.03,82003.4609922623,125.98,66.06,0.01
2020-08-06,13.877966666666667,18.785,260.69760383333335,1.3535844588184147,12.51,90521.17545509338,110.71,64.69,0.0
2020-08-07,13.841536111111113,20.135,278.69932959722223,1.4546795845756524,12.570000000000002,96980.73862592696,125.11,65.69,0.0
2020-08-08,13.804672222222225,20.815,287.3442523055556,1.5078228345395135,13.93,110512.0730539736,139.84,64.06,0.0
2020-08-09,13.76738611111111,22.7,312.51966472222216,1.6488242442535792,15.660000000000002,134756.77088321515,137.77,66.12,0.0
2020-08-10,13.729694444444444,23.655,324.77592208333334,1.722907971165499,12.21,108890.59130751384,119.5,76.75,4.27
2020-08-11,13.691608333333331,23.525,322.09508604166666,1.7182057379428883,9.81,86524.19537308995,105.03,82.0,2.64
2020-08-12,13.653144444444443,23.445,320.0979715,1.7171868425914094,11.009999999999998,96234.9713846148,96.79,71.12,0.0
2020-08-13,13.614313888888889,23.605,321.36587934722223,1.7338369155176343,13.25,115942.16279721478,131.72,64.38,0.0
2020-08-14,13.575133333333332,22.72,308.42702933333334,1.6736483865106295,10.7,89600.47420160369,67.79,79.69,6.16
2020-08-15,13.535608333333334,23.775,321.809088125,1.7564781289844746,10.709999999999996,93302.98761979636,106.9,77.94,4.15
2020-08-16,13.495761111111111,22.065,297.78396891666665,1.6349578077396316,10.77,86565.41095747292,95.1,74.31,2.52
2020-08-17,13.455594444444444,21.515,289.4971144722222,1.5989631739297203,13.01,101357.1570098569,119.36,63.19,0.73
2020-08-18,13.415127777777778,19.53,261.9974455,1.4558191560688327,8.239999999999998,57922.73736158216,59.55,66.5,2.23
2020-08-19,13.374372222222222,18.18,243.146087,1.3593161382029562,12.9,83899.69781540256,131.7,63.56,0.0
2020-08-20,13.333336111111112,18.93,252.40005258333332,1.4197497042188114,15.12,101767.72240320442,133.65,52.06,0.0
2020-08-21,13.292033333333332,20.02,266.1065073333333,1.506165347162837,15.160000000000002,107244.76787176864,98.34,57.06,0.01
2020-08-22,13.250475,21.93,290.58291675,1.655035008178952,13.660000000000002,105191.8809288432,81.39,69.38,0.49
2020-08-23,13.208672222222225,22.675,299.50664263888893,1.7166751978182684,12.43,98348.2748649439,111.33,75.31,0.44
2020-08-24,13.16663611111111,23.875,314.35343715277776,1.8132953473098776,12.509999999999998,103557.21247803686,110.07,72.56,2.0
2020-08-25,13.124375,25.215,330.931115625,1.9212343444925948,13.270000000000003,115270.22816914304,103.85,70.81,2.27
2020-08-26,13.081902777777778,25.,327.04756944444443,1.9110369817506585,12.64,108158.06594152932,104.34,67.5,0.04
2020-08-27,13.03922777777778,24.735,322.5252990833333,1.8969681657187436,8.969999999999999,75446.32624885211,65.8,79.12,0.6
2020-08-28,12.996361111111112,25.62,332.9667716666667,1.9713210321692607,7.280000000000001,63006.309221577634,80.53,86.69,10.25
2020-08-29,12.95331111111111,23.825,308.6126372222222,1.8392980602128328,8.030000000000001,64200.74137432422,104.12,69.5,0.51
2020-08-30,12.910086111111111,18.68,241.1604085555556,1.4469307051269775,12.4,77212.36069786537,121.02,63.38,0.0
2020-08-31,12.866700000000002,19.53,251.28665100000003,1.5178717153582502,13.500000000000002,87297.20871538593,73.66,68.88,0.37
2020-09-01,12.823158333333334,21.08,270.3121776666666,1.643900781073825,13.98,96916.5136679924,79.55,78.94,0.92
