Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2022-04-28,13.316675,15.555,207.140879625,1.168084375416536,18.11,99910.25394458856,142.05,65.62,0.0
2022-04-29,13.348727777777777,16.72,223.1907284444444,1.252553822232747,16.52,98436.47761651194,123.61,71.75,0.0
2022-04-30,13.380475,18.31,244.99649725,1.368411808997812,15.92,104376.9170882716,126.77,81.62,0.45
2022-05-01,13.411905555555556,20.185,270.7193136388889,1.5050061243265207,13.53,98251.1221099146,101.64,86.81,2.09
2022-05-02,13.443008333333331,22.9,307.8448908333333,1.7034877485880209,13.52,111901.29314417178,137.88,80.31,0.64
2022-05-03,13.473769444444445,23.195,312.5240822638889,1.721493016162886,13.91,117146.61010983956,131.54,78.56,0.37
2022-05-04,13.504180555555555,23.685,319.8465164583333,1.7539013124536535,12.79,110486.80147079506,120.36,84.75,3.13
2022-05-05,13.534227777777778,21.835,295.5198635277778,1.613317018046016,15.19,121508.85497070268,140.77,72.31,0.02
2022-05-06,13.56390277777778,21.975,298.0667635416667,1.62010892882559,12.070000000000002,97596.77925146034,80.65,80.12,1.11
2022-05-07,13.593191666666666,19.575,266.08672687499995,1.4400591472569295,9.410000000000002,68071.33547088312,116.5,77.0,0.23
2022-05-08,13.622083333333334,16.075,218.97498958333335,1.180069127947879,7.73,46115.56529606866,103.07,76.81,0.05
2022-05-09,13.650563888888888,16.965,231.581816375,1.2428058018767236,12.21,77197.05051793632,149.31,73.38,0.01
2022-05-10,13.678625,18.68,255.516715,1.365634338246717,19.04,133094.0677632986,145.87,67.25,0.0
2022-05-11,13.70625277777778,19.435,266.3810227361112,1.4179659688978126,17.330000000000002,126546.62803368364,154.17,68.94,0.0
2022-05-12,13.733433333333334,20.59,282.7713923333333,1.4992609277116913,14.8,114949.29312943686,140.38,73.94,0.25
2022-05-13,13.760155555555556,21.105,290.408083,1.5337762654491955,11.71,93587.73449002752,104.75,81.06,2.59
2022-05-14,13.78641111111111,21.11,291.0311385555555,1.5312179384369633,13.480000000000002,108170.93190417351,128.1,73.19,1.28
2022-05-15,13.812180555555557,22.565,311.6718542361112,1.6337029413450488,13.83,119072.64679980092,115.41,71.88,0.74
2022-05-16,13.837455555555554,23.355,323.1737745,1.687810299099626,15.53,138897.29914679326,134.3,76.12,1.74
2022-05-17,13.862225,20.45,283.48250125,1.475232150682881,15.96,125435.96705121778,155.84,58.75,0.0
2022-05-18,13.886475,21.54,299.1146715,1.551149589798707,18.36,152521.96953874757,143.85,61.06,0.0
2022-05-19,13.910191666666668,24.925,346.7115272916667,1.7918516579270714,17.770000000000003,171403.15776918526,143.0,78.62,1.0
2022-05-20,13.933366666666668,26.245,365.6812081666667,1.883607933952311,13.770000000000003,140320.99161789517,150.12,70.25,0.62
2022-05-21,13.955983333333334,25.19,351.5512201666667,1.8049605963511468,12.46,122263.57479891826,122.81,78.88,3.27
2022-05-22,13.978033333333332,25.26,353.085122,1.8071211734602628,11.32,111738.2620931263,130.35,73.56,0.72
2022-05-23,13.999502777777778,21.81,305.3291555833334,1.5579124734787209,4.059999999999999,34708.58565721038,47.9,88.56,40.36
2022-05-24,14.020380555555557,23.25,325.97384791666667,1.6583002086050525,12.079999999999998,110417.90195864304,119.02,77.62,0.49
2022-05-25,14.040655555555556,18.64,261.7178195555556,1.3275733405926755,4.98,36599.90998102076,54.2,79.06,0.59
2022-05-26,14.060313888888889,21.1,296.6726230555556,1.5006777349881355,7.5,62569.65303601688,48.29,93.88,26.46
2022-05-27,14.079344444444445,22.965,323.3321451666667,1.631112875362726,8.189999999999998,74566.75003207158,124.55,75.56,2.67
2022-05-28,14.09773888888889,20.72,292.1051497777778,1.4697392371432296,14.42,118763.75821959316,154.68,70.88,0.0
2022-05-29,14.11548611111111,22.68,320.13922499999995,1.6067459399890782,14.96,135206.10986055247,149.59,68.62,0.0
2022-05-30,14.132572222222224,24.655,348.4385681388889,1.7445514951080303,12.650000000000002,124585.63069953283,133.06,74.75,0.18
2022-05-31,14.148988888888889,24.55,347.3576772222222,1.7351063169806402,13.14,129159.89057901084,153.66,67.69,0.11
2022-06-01,14.164722222222222,25.355,359.1465319444444,1.7900103935834328,14.609999999999996,148648.30138961275,154.72,62.19,0.0
2022-06-02,14.179769444444444,26.15,370.8009709722222,1.8441766703227624,13.72,144276.01531277204,146.46,69.38,1.66
2022-06-03,14.194116666666666,24.54,348.323623,1.7288853245534828,9.88,97696.327778132,108.56,80.38,10.49
2022-06-04,14.20775277777778,22.695,322.4449492916667,1.5973673215582025,10.61,97213.44859083634,148.33,69.94,0.11
2022-06-05,14.220675,21.79,309.86850825,1.5322760698771332,12.52,110339.74528789404,140.0,66.19,0.0
2022-06-06,14.232869444444445,22.155,315.3292225416667,1.5566081095929551,13.570000000000002,121805.39627615373,142.03,66.75,0.06
2022-06-07,14.244327777777778,22.7,323.34624055555554,1.593616796393418,9.68,89169.25282855159,85.02,73.0,0.2
2022-06-08,14.255047222222222,25.09,357.65913480555554,1.7600783504166264,10.200000000000005,104008.33626469174,121.35,85.31,8.48
2022-06-09,14.265016666666666,25.76,367.46682933333335,1.8058163268882732,11.32,118677.0788722452,140.09,73.62,1.51
2022-06-10,14.274230555555556,21.92,312.89113377777784,1.5356344368046302,12.18,108798.5852416362,137.46,57.56,0.0
2022-06-11,14.282683333333337,24.435,348.9973672500001,1.7108129774867231,13.23,131893.01558064396,139.2,56.94,0.01
2022-06-12,14.290369444444446,26.295,375.76526454166674,1.8400503991324384,13.91,149388.51632947076,142.91,61.25,0.01
2022-06-13,14.297280555555556,28.31,404.7560125277778,1.980096836597325,15.400000000000002,178299.7952110896,148.03,67.88,0.86
2022-06-14,14.303413888888889,28.345,405.4302666805555,1.981694735270076,13.11,152050.7477124104,107.49,71.88,1.88
2022-06-15,14.30876388888889,29.25,418.53134375,2.04420173728028,14.810000000000002,181356.4874479125,140.66,72.0,1.16
2022-06-16,14.313330555555554,29.35,420.09625180555554,2.0505360290591583,12.179999999999996,146476.10796003498,102.38,72.62,3.11
2022-06-17,14.317108333333332,28.585,409.2545417083333,1.9965623877726708,15.15,178531.7918265765,129.84,78.19,2.69
