Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2022-04-04,12.411027777777775,20.825,258.4596534722222,1.6779432270136103,11.17,71661.13363007922,51.49,91.62,6.75
2022-04-05,12.442280555555556,26.665,331.7734110138889,2.143095864213889,12.769999999999996,105429.5761624938,122.47,84.69,2.48
2022-04-06,12.47345,20.75,258.8240875,1.6635333448244072,9.18,59273.96220920542,134.45,67.75,0.38
2022-04-07,12.504533333333333,16.125,201.6356,1.289532329608462,15.29,77103.16070880425,141.45,53.12,0.0
2022-04-08,12.535516666666666,15.87,198.9386495,1.2660028638628111,16.34,81497.34336083203,141.4,54.31,0.0
2022-04-09,12.5664,17.28,217.147392,1.3750954927425516,23.98,130871.37692830924,140.94,59.44,0.07
2022-04-10,12.597175,21.385,269.390587375,1.6976028355563848,14.570000000000002,98888.34925510651,101.95,83.75,1.03
2022-04-11,12.627836111111112,24.705,311.970691125,1.956392194404733,8.389999999999997,66105.05765596236,88.03,85.88,2.41
2022-04-12,12.658372222222225,25.595,323.9910370277778,2.021981938172672,8.129999999999999,66685.49807105627,81.52,91.5,4.97
2022-04-13,12.688780555555557,24.525,311.192343125,1.9328098466690065,14.09,111272.99511295042,87.9,78.0,6.2
2022-04-14,12.71905,19.385,246.55878425,1.5240918150333551,16.69,104679.46319072349,142.78,65.88,0.0
2022-04-15,12.749177777777778,20.13,256.6409486666667,1.5789253511773311,13.84,90567.88268357364,54.6,87.75,4.48
2022-04-16,12.779155555555556,25.155,321.459658,1.9684399247385505,8.309999999999999,68274.67703482196,72.73,89.12,4.88
2022-04-17,12.808972222222224,24.54,314.33217833333333,1.915844579428916,9.62,77465.47598942049,83.72,85.19,3.27
2022-04-18,12.838625,20.29,260.49570125,1.580387307830862,11.42,76386.24725700424,134.05,76.75,0.1
2022-04-19,12.868105555555555,18.545,238.63901752777772,1.4411600775215552,13.53,83096.71573901424,90.08,76.81,4.14
2022-04-20,12.897402777777778,23.49,302.95999125000003,1.8212969234761955,12.099999999999998,94559.0081914194,69.96,85.0,3.76
2022-04-21,12.926511111111113,25.275,326.7175683333333,1.9552839728172764,6.609999999999999,55832.26762532481,51.51,85.69,3.88
