Date,DLs,GDDs,PTTs,PTRs,DTRs,PTSs,PARs,RH2M,PRECTOTCORR
2020-05-07,14.20841388888889,10.595,150.5381451527778,0.7456849218254676,13.77,58905.533821794095,133.94,70.31,0.0
2020-05-08,14.247719444444444,4.55,64.82712347222221,0.319349353960936,9.2,16808.1937756373,147.58,70.06,0.0
2020-05-09,14.286475,7.725,110.363019375,0.5407212065957487,18.02,47371.90184745454,135.26,64.38,0.81
2020-05-10,14.324658333333332,4.63,66.32316808333333,0.3232188784025681,6.04,11476.685206326096,58.85,87.88,7.52
2020-05-11,14.362255555555556,5.805,83.3728935,0.4041844247615083,10.71,25648.796437113764,113.84,72.69,0.0
2020-05-12,14.399244444444443,8.065,116.12990644444444,0.5600988323461417,16.369999999999997,53932.67800052479,150.62,64.88,0.0
2020-05-13,14.435611111111111,9.24,133.38504666666668,0.6400837435200758,18.44,71012.243124138,116.59,70.69,3.5
2020-05-14,14.47133611111111,12.325,178.35921756944444,0.8516836251586231,11.59,59829.80959060437,65.95,88.81,15.88
2020-05-15,14.506402777777778,16.33,236.8895573611111,1.1257098158763228,12.999999999999998,89346.79865617403,146.91,76.81,1.98
2020-05-16,14.540788888888889,14.66,213.1679651111111,1.0081983936375147,13.28,82326.18285441281,120.95,80.56,2.07
2020-05-17,14.574480555555557,10.845,158.06024162499995,0.7441088523642828,2.33,10734.98997867208,29.86,93.0,38.25
2020-05-18,14.607458333333334,10.96,160.09774333333334,0.7503016438520277,3.3199999999999985,15528.444203615669,42.86,93.06,6.05
2020-05-19,14.6397,11.945,174.8712165,0.8159320204649003,6.3100000000000005,32307.98431022153,54.02,90.88,0.46
2020-05-20,14.671194444444446,15.315,224.68934291666667,1.0438822863396338,11.23,74038.51494772865,150.07,81.06,0.01
2020-05-21,14.701919444444446,15.585,229.1294145416667,1.0600656641394708,9.01,60702.9323528963,83.83,84.75,0.09
2020-05-22,14.731855555555557,16.32,240.42388266666663,1.1078034222135404,7.380000000000001,52278.29509449528,58.15,86.75,0.06
2020-05-23,14.760988888888887,17.43,257.28403633333335,1.180815196813824,10.8,82031.76291466407,87.08,90.0,14.12
2020-05-24,14.789297222222222,20.835,308.135007625,1.408789051091189,12.39,112924.94326173156,115.7,87.06,0.05
2020-05-25,14.816766666666666,22.17,328.48771700000003,1.496277865391235,12.48,121483.46135714964,128.34,86.19,0.34
2020-05-26,14.843377777777778,22.93,340.35865244444443,1.544796632093324,12.84,129737.21045376084,127.18,85.75,1.17
2020-05-27,14.869113888888888,23.905,355.4461675138889,1.6076949963953993,9.69,102426.58580405932,124.2,86.0,2.39
2020-05-28,14.893958333333334,19.795,294.8259052083334,1.3290623994628694,4.25,37324.5603559617,35.2,94.0,25.65
2020-05-29,14.917894444444444,14.955,223.0971114166667,1.0024873185484549,7.65,50920.52913230672,103.13,81.12,0.03
2020-05-30,14.940905555555556,14.975,223.74006069444445,1.002281953012665,12.23,81766.82317320087,153.03,77.06,0.0
2020-05-31,14.96297777777778,13.55,202.74834888888887,0.9055684103283064,17.06,103510.4936074584,159.11,73.69,0.0
2020-06-01,14.984091666666668,17.38,260.4235131666667,1.1598968016635418,16.22,126587.68569934629,91.0,82.88,0.83
2020-06-02,15.004236111111112,23.41,351.2491673611111,1.5602260472736864,17.339999999999996,182771.4182910117,152.48,85.94,5.07
2020-06-03,15.023397222222224,23.25,349.2939854166667,1.547586052348346,12.880000000000004,135177.71979678026,149.0,75.5,6.0
2020-06-04,15.041558333333333,23.75,357.23701041666664,1.5789587404230614,13.439999999999998,144437.0277774923,151.21,71.69,0.02
2020-06-05,15.058705555555555,23.815,358.6230728055556,1.5814772333611382,11.43,123453.12705633772,129.62,83.88,0.6
2020-06-06,15.074830555555556,19.96,300.8936178888889,1.3240613170702675,12.48,113216.57081088006,153.53,73.0,0.0
2020-06-07,15.089916666666666,19.47,293.80067749999995,1.2902655746939182,14.6,129456.09001048804,140.66,79.69,0.12
2020-06-08,15.103955555555554,22.9,345.8805822222222,1.5161591224079638,16.98,177412.64141042362,161.8,75.44,0.0
2020-06-09,15.116933333333334,22.515,340.357754,1.4893893823262214,12.27,126262.36079824416,75.75,88.75,22.56
2020-06-10,15.128844444444445,21.705,328.37156866666663,1.4346766588621,9.31,92501.96995910016,79.28,84.62,14.97
2020-06-11,15.139675,18.64,282.203542,1.2312021228989394,14.420000000000002,123218.03219658004,142.22,75.25,0.14
2020-06-12,15.149419444444446,19.45,294.65620819444445,1.283877581667504,16.82,150164.6032784594,149.09,73.31,0.19
2020-06-13,15.158072222222222,14.075,213.34986652777772,0.928548155309987,12.17,78714.89516335468,158.12,70.12,0.0
