"Env","Hybrid","Pollen_DAP_days","Silk_DAP_days","ASI","Plant_Height_cm","Ear_Height_cm","EHC","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"DEH1_2020","B73/PHM49",59.9469,60.0585,0.5,234.5,120.5,0.513859275,9.16,23.1,689.93
"DEH1_2020","B73/TX779",59.9469,60.0585,1.2,257.4,139.8,0.543123543,9.68,19.32501,677.7
"DEH1_2020","F42/OH43",63,64,1,256.6,133.1,0.518706157,9.56,20.46,681.08
"DEH1_2020","TX714/TX779",59.9469,60.0585,1.5,260.6,150.9,0.57904835,10.04,19.32501,680.28
"DEH1_2020","TX777/LH195",59.9469,60.0585,0.9,246.9,138.8,0.562170919,11.08,19.32501,650.95
"DEH1_2020","TX779/LH195",59.9469,60.0585,1.3,220.4,124.9,0.566696915,9.89,19.32501,684.57
"DEH1_2020","W10004_0006/PHK76",60,60,0,223,111,0.497757848,10.56,18.4,741.42
"DEH1_2020","W10004_0006/PHZ51",59,60,1,250,131,0.524,7.14,18,697.65
"DEH1_2020","W10004_0007/PHK76",60,60,0,223,118,0.529147982,10.44,19.8,763.3
"DEH1_2020","W10004_0007/PHZ51",63,62,-1,254,143,0.562992126,9.15,19.2,733.7
"DEH1_2020","W10004_0008/PHK76",64,63,-1,207,101,0.487922705,10.47,19.6,729.83
"DEH1_2020","W10004_0008/PHZ51",61,60,-1,258,145,0.562015504,8.57,17.6,701.52
"DEH1_2020","W10004_0010/PHZ51",60,60,0,262,116,0.442748092,10.19,17.3,701.52
"DEH1_2020","W10004_0011/PHK76",61,60,-1,228,115,0.504385965,8.15,21.6,753
"DEH1_2020","W10004_0011/PHZ51",59,60,1,259,123,0.474903475,5.55,20,732.41
"DEH1_2020","W10004_0013/PHK76",60,59,-1,252,150.5,0.597222222,7.85,20.4,749.14
"DEH1_2020","W10004_0013/PHZ51",60,59,-1,261,122,0.46743295,6.72,16.1,710.53
"DEH1_2020","W10004_0014/PHK76",60,59,-1,269,163,0.605947955,10.55,19,715.67
"DEH1_2020","W10004_0014/PHZ51",63,62,-1,282,154,0.546099291,8.57,18.8,713.90487
"DEH1_2020","W10004_0018/PHK76",58,57,-1,213,106,0.497652582,9.26,18.8,776.17
"DEH1_2020","W10004_0026/PHK76",60,59,-1,232,114,0.49137931,11.15,18.2,746.57
"DEH1_2020","W10004_0026/PHZ51",61,61,0,253,120,0.4743083,5.5,19.8,714.39
"DEH1_2020","W10004_0027/PHK76",59,58.5,-0.5,216.5,115,0.531177829,10.13,18.8,743.99
"DEH1_2020","W10004_0031/PHK76",59,59,0,251,123,0.490039841,5.86,20,763.3
"DEH1_2020","W10004_0031/PHZ51",61,61,0,267,150,0.561797753,3.42,19.4,728.55
"DEH1_2020","W10004_0032/PHK76",60,60,0,185,102,0.551351351,9.56,19.9,736.27
"DEH1_2020","W10004_0032/PHZ51",61,60,-1,235.5,128,0.543524416,5.46,20.3,722.11
"DEH1_2020","W10004_0034/PHK76",59,58,-1,211,104,0.492890995,8.73,17.3,725.97
"DEH1_2020","W10004_0034/PHZ51",63,64,1,251,137,0.545816733,6.95,15.7,686.07
"DEH1_2020","W10004_0035/PHK76",61,61,0,236,110,0.466101695,11.01,20.6,734.98
"DEH1_2020","W10004_0037/PHK76",62,62,0,214,124,0.579439252,6.15,20.2,747.85
"DEH1_2020","W10004_0037/PHZ51",61,61,0,278,166,0.597122302,5.18,22.7,719.54
"DEH1_2020","W10004_0038/PHK76",59,59,0,222,122,0.54954955,8.63,20,733.7
"DEH1_2020","W10004_0038/PHZ51",63,62,-1,256,115,0.44921875,8.84,18.6,698.94
"DEH1_2020","W10004_0039/PHK76",59,59,0,214,102,0.476635514,6.68,20.4,714.39
"DEH1_2020","W10004_0039/PHZ51",62,61,-1,268,141,0.526119403,5.29,18.3,707.95
"DEH1_2020","W10004_0041/PHK76",60,59,-1,224,126,0.5625,6.15,21,728.55
"DEH1_2020","W10004_0041/PHZ51",61,61,0,259,141,0.544401544,7.33,18.7,715.67
"DEH1_2020","W10004_0042/PHK76",60,60,0,221,106,0.479638009,7.74,20.3,760.73
"DEH1_2020","W10004_0042/PHZ51",61,61,0,270,124,0.459259259,8.93,20.6,719.54
"DEH1_2020","W10004_0045/PHK76",60,57,0.1126,242,116,0.479338843,11.72,19.9,715.67
"DEH1_2020","W10004_0046/PHK76",60,60,0,224,120,0.535714286,8.47,18.6,711.81
"DEH1_2020","W10004_0046/PHZ51",61,62,1,272,147,0.540441176,7.94,17.5,693.79
"DEH1_2020","W10004_0047/PHK76",59,59,0,216,110,0.509259259,8.45,18.1,750.43
"DEH1_2020","W10004_0047/PHZ51",60,61.5,1.5,255,124,0.48627451,7.71,17.25,700.23
"DEH1_2020","W10004_0053/PHK76",61.5,61,-0.5,233,117.5,0.504291845,10.33,21.15,723.4
"DEH1_2020","W10004_0053/PHZ51",63,63,0,239,130,0.543933054,3.78,19.5,687.36
"DEH1_2020","W10004_0055/PHK76",61,61,0,207,113,0.54589372,8.28,18.6,729.83
"DEH1_2020","W10004_0055/PHZ51",62,62,0,278,145,0.521582734,2.84,18,677.06
"DEH1_2020","W10004_0061/PHK76",65,60.0585,1,212,101,0.476415094,8.87,22.2,743.99
"DEH1_2020","W10004_0061/PHZ51",61,61,0,263.5,123,0.466793169,5.91,19.3,732.41
"DEH1_2020","W10004_0062/PHK76",60,59,-1,233,126,0.540772532,8.02,17.4,671.91
"DEH1_2020","W10004_0062/PHZ51",60.5,62,1.5,245.5,129,0.525458248,5.46,16.6,719.54
"DEH1_2020","W10004_0063/PHK76",63,62,-1,237.5,111.5,0.469473684,7.78,19.4,724.69
"DEH1_2020","W10004_0063/PHZ51",62,61,-1,243,117,0.481481481,7.27,16.5,688.64
