"Env","Hybrid","Pollen_DAP_days","Silk_DAP_days","ASI","Plant_Height_cm","Ear_Height_cm","EHC","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"IAH4_2021","B73/PHM49",80.1,80.4,0.3,NA,NA,NA,12.27,15.98,748.34
"IAH4_2021","B73/TX779",72,76,0,NA,NA,NA,9.66,15.35657,746.75
"IAH4_2021","F42/OH43",77,78.8,1.8,NA,NA,NA,9.35,15.93,728
"IAH4_2021","TX714/TX779",80,80,0,NA,NA,NA,11.29,15.35657,730.16
"IAH4_2021","TX777/LH195",77,79,1.5,NA,NA,NA,9.81,15.35657,714.55
"IAH4_2021","TX779/LH195",76,76,-1,NA,NA,NA,12.36,15.35657,739.49
"IAH4_2021","W10004_0006/PHK76",73,75,2,NA,NA,NA,10.38,15.5,755.58
"IAH4_2021","W10004_0006/PHZ51",74,77,3,NA,NA,NA,10.32,15,731.12
"IAH4_2021","W10004_0007/PHK76",74,74,0,NA,NA,NA,11.44,15.5,758.15
"IAH4_2021","W10004_0007/PHZ51",78,79,1,NA,NA,NA,8.54,15.7,710.53
"IAH4_2021","W10004_0008/PHK76",77,75,-2,NA,NA,NA,10.72,15.4,750.43
"IAH4_2021","W10004_0008/PHZ51",77,79,2,NA,NA,NA,9.94,15.2,724.69
"IAH4_2021","W10004_0010/PHZ51",76,79,3,NA,NA,NA,7.7,14.9,731.12
"IAH4_2021","W10004_0011/PHK76",75,74,-1,NA,NA,NA,9.83,16.1,774.89
"IAH4_2021","W10004_0011/PHZ51",76.5,79,2.5,NA,NA,NA,8.55,15.25,734.98
"IAH4_2021","W10004_0013/PHK76",73,73,0,NA,NA,NA,8.6,15.2,751.72
"IAH4_2021","W10004_0013/PHZ51",77,77,0,NA,NA,NA,6.49,15.3,718.25
"IAH4_2021","W10004_0014/PHK76",76,76,0,NA,NA,NA,10.37,15.7,755.58
"IAH4_2021","W10004_0014/PHZ51",77,77,0,NA,NA,NA,10.64,15.4,723.4
"IAH4_2021","W10004_0018/PHK76",76,76,0,NA,NA,NA,8.58,15.7,755.58
"IAH4_2021","W10004_0026/PHK76",75,75,0,NA,NA,NA,10.96,15.6,746.57
"IAH4_2021","W10004_0026/PHZ51",79,79,0,NA,NA,NA,7.74,15.2,713.1
"IAH4_2021","W10004_0027/PHK76",73,73,0,NA,NA,NA,12.63,14.9,736.27
"IAH4_2021","W10004_0031/PHK76",78,78,0,NA,NA,NA,10.62,15.7,772.31
"IAH4_2021","W10004_0031/PHZ51",78,78,0,NA,NA,NA,8.08,15.3,732.41
"IAH4_2021","W10004_0032/PHK76",75,74,-1,NA,NA,NA,10.72,16,755.58
"IAH4_2021","W10004_0032/PHZ51",79,79,0,NA,NA,NA,8.86,15.3,765.88
"IAH4_2021","W10004_0034/PHK76",73.5,75.5,2,NA,NA,NA,11.47,15.6,738.2
"IAH4_2021","W10004_0034/PHZ51",79,81,2,NA,NA,NA,9,15.2,701.52
"IAH4_2021","W10004_0035/PHK76",77,77,0,NA,NA,NA,8.82,15.7,741.42
"IAH4_2021","W10004_0037/PHK76",77,78,1,NA,NA,NA,10.55,15.2,773.6
"IAH4_2021","W10004_0037/PHZ51",78,80,2,NA,NA,NA,6.68,15.5,750.43
"IAH4_2021","W10004_0038/PHK76",76,76,0,NA,NA,NA,9.77,15,747.85
"IAH4_2021","W10004_0038/PHZ51",77,80,3,NA,NA,NA,8.53,15,718.25
"IAH4_2021","W10004_0039/PHK76",75,75,0,NA,NA,NA,11.33,15.5,767.16
"IAH4_2021","W10004_0039/PHZ51",77,79,2,NA,NA,NA,7.69,14.9,738.84
"IAH4_2021","W10004_0041/PHK76",77,77,0,NA,NA,NA,7.37,15.6,742.71
"IAH4_2021","W10004_0041/PHZ51",77,78,1,NA,NA,NA,9.97,14.9,700.23
"IAH4_2021","W10004_0042/PHK76",75,75,0,NA,NA,NA,10.14,15.5,759.44
"IAH4_2021","W10004_0042/PHZ51",76,77,1,NA,NA,NA,10.5,15.2,736.27
"IAH4_2021","W10004_0045/PHK76",76,76,0,NA,NA,NA,12.67,15.6,769.74
"IAH4_2021","W10004_0046/PHK76",75,75,0,NA,NA,NA,9.05,14.8,718.25
"IAH4_2021","W10004_0046/PHZ51",76.5,79.5,3,NA,NA,NA,6.81,15.1,707.95
"IAH4_2021","W10004_0047/PHK76",77,76,-1,NA,NA,NA,9.68,15.6,751.72
"IAH4_2021","W10004_0047/PHZ51",76,78,2,NA,NA,NA,7.84,15,715.67
"IAH4_2021","W10004_0053/PHK76",78,77,-1,NA,NA,NA,12.17,15.7,754.29
"IAH4_2021","W10004_0053/PHZ51",79,80,1,NA,NA,NA,8.65,15.5,731.12
"IAH4_2021","W10004_0055/PHK76",75,75,0,NA,NA,NA,10.48,15,740.13
"IAH4_2021","W10004_0055/PHZ51",76.5,79,2.5,NA,NA,NA,8.03,15.15,717.61
"IAH4_2021","W10004_0061/PHK76",76,76,0,NA,NA,NA,9.12,15.5,753
"IAH4_2021","W10004_0061/PHZ51",76,78,2,NA,NA,NA,10.05,15.3,740.13
"IAH4_2021","W10004_0062/PHK76",75,75,0,NA,NA,NA,11.45,14.7,731.12
"IAH4_2021","W10004_0062/PHZ51",76,78,2,NA,NA,NA,8.55,14.9,724.04
"IAH4_2021","W10004_0063/PHK76",78,77,-1,NA,NA,NA,9.09,15.1,738.84
"IAH4_2021","W10004_0063/PHZ51",77,79,2,NA,NA,NA,8.28,15.3,696.37
"IAH4_2021","W10004_0064/PHK76",73,73,0,NA,NA,NA,9.84,15.25,744.64
"IAH4_2021","W10004_0065/PHK76",74,74,0,NA,NA,NA,12.38,15.2,753
"IAH4_2021","W10004_0065/PHZ51",77,79,2,NA,NA,NA,9.81,15.1,759.44
"IAH4_2021","W10004_0068/PHK76",75,74,-1,NA,NA,NA,11.13,15.1,753
"IAH4_2021","W10004_0068/PHZ51",76,77,1,NA,NA,NA,9.4,15,737.56
"IAH4_2021","W10004_0069/PHK76",75,76,1,NA,NA,NA,10.97,15.1,734.98
"IAH4_2021","W10004_0069/PHZ51",74,77,3,NA,NA,NA,11.78,14.6,710.53
"IAH4_2021","W10004_0070/PHK76",75,75,0,NA,NA,NA,10.96,15,750.43
"IAH4_2021","W10004_0070/PHZ51",77,77,0,NA,NA,NA,8.81,14.9,734.98
"IAH4_2021","W10004_0071/PHK76",75,75,0,NA,NA,NA,10.89,15.7,759.44
"IAH4_2021","W10004_0071/PHZ51",76,76,0,NA,NA,NA,9.5,14.7,713.1
"IAH4_2021","W10004_0072/PHK76",76,75,-1,NA,NA,NA,12.05,15.9,738.84
"IAH4_2021","W10004_0072/PHZ51",79,79,0,NA,NA,NA,10.43,15.6,736.27
"IAH4_2021","W10004_0073/PHK76",75,75,0,NA,NA,NA,9.87,15.4,736.27
"IAH4_2021","W10004_0073/PHZ51",78,79,1,NA,NA,NA,9.03,15.4,718.25
"IAH4_2021","W10004_0076/PHK76",77,78,1,NA,NA,NA,9.78,15.7,776.17
"IAH4_2021","W10004_0076/PHZ51",79,83,4,NA,NA,NA,6.77,15.4,747.85
"IAH4_2021","W10004_0078/PHK76",76,77,1,NA,NA,NA,11.26,15.6,733.7
"IAH4_2021","W10004_0078/PHZ51",79,81,2,NA,NA,NA,8.13,15,718.25
"IAH4_2021","W10004_0079/PHZ51",77,77.5,0.5,NA,NA,NA,8.82,15.55,749.14
"IAH4_2021","W10004_0080/PHK76",77,76.5,-0.5,NA,NA,NA,10.68,15.3,747.85
"IAH4_2021","W10004_0080/PHZ51",78,79,1,NA,NA,NA,9.56,15.4,747.85
"IAH4_2021","W10004_0086/PHK76",74,75,1,NA,NA,NA,10.4,15.4,756.86
"IAH4_2021","W10004_0086/PHZ51",77,78,1,NA,NA,NA,8.32,15.1,742.71
"IAH4_2021","W10004_0087/PHK76",73,74,1,NA,NA,NA,8.69,15.2,749.14
"IAH4_2021","W10004_0087/PHZ51",77,78,1,NA,NA,NA,9.92,15.1,749.14
"IAH4_2021","W10004_0092/PHZ51",77,78,1,NA,NA,NA,9.32,15.5,742.71
"IAH4_2021","W10004_0093/PHZ51",77,80,3,NA,NA,NA,9.89,15.3,718.25
