"Env","Hybrid","Pollen_DAP_days","Silk_DAP_days","ASI","Plant_Height_cm","Ear_Height_cm","EHC","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"WIH2_2021","B73/PHM49",70.3,70.4,0.1,263.5,134.4,0.510056926,13.27,22.98,674.49
"WIH2_2021","B73/TX779",64.4671,64.7723,2.7,271.9,154.6,0.568591394,11.70271,20.81776,636.83
"WIH2_2021","F42/OH43",64.1,65.4,1.3,251.9,111.7,0.443429933,13.61,23.8,674.65
"WIH2_2021","TX714/TX779",64.4671,64.7723,5,275.2,164.6,0.477990558625,11.70271,20.81776,712.57047
"WIH2_2021","TX777/LH195",64.4671,64.7723,0.8,281,164.2,0.584341637,11.70271,20.81776,712.57047
"WIH2_2021","TX779/LH195",64.4671,64.7723,4.6,253.9,144.3,0.56833399,11.70271,20.81776,712.57047
"WIH2_2021","W10004_0006/PHK76",63,63,0,243.3,115,0.472667489,12.71,21.9,722.11
"WIH2_2021","W10004_0006/PHZ51",64,64.5,0.5,255.8,120,0.469116497,11.09,18.2,732.41
"WIH2_2021","W10004_0007/PHK76",64,63,-1,245,126.7,0.517142857,14.24,19.5,747.85
"WIH2_2021","W10004_0007/PHZ51",67,67,0,253.3,126.7,0.500197394,10.28,20.9,731.12
"WIH2_2021","W10004_0008/PHK76",65,64,-1,241.7,116.7,0.482829954,12.87,20.2,745.28
"WIH2_2021","W10004_0008/PHZ51",67,66.5,-0.5,268.3,136.7,0.509504286,11.61,20.55,716.96
"WIH2_2021","W10004_0010/PHZ51",66,67,1,265,111.7,0.421509434,11.41,20.9,715.67
"WIH2_2021","W10004_0011/PHK76",65,65,0,253.3,128.3,0.506514015,10.63,22.3,741.42
"WIH2_2021","W10004_0011/PHZ51",65,64,-1,276.7,138.3,0.499819299,10.14,21.4,728.55
"WIH2_2021","W10004_0013/PHK76",63,61,-2,265,123.3,0.465283019,11.79,21.2,750.43
"WIH2_2021","W10004_0013/PHZ51",64,64,0,240,125,0.520833333,11.70271,18.4,719.54
"WIH2_2021","W10004_0014/PHK76",66,65,-1,265,135,0.509433962,13.38,22.1,710.53
"WIH2_2021","W10004_0014/PHZ51",66,65,-1,271.7,143.3,0.527419948,14.71,20.5,704.09
"WIH2_2021","W10004_0018/PHK76",64,63,-1,246.7,130,0.526955817,14.59,20.3,764.59
"WIH2_2021","W10004_0026/PHK76",65.5,64,-1.5,264.2,137.5,0.520439061,13.32,20.7,744.64
"WIH2_2021","W10004_0026/PHZ51",66,65,-1,266.7,125,0.468691414,8.53,19.6,738.84
"WIH2_2021","W10004_0027/PHK76",62,61,-1,238.3,121.7,0.510700797,10.65,17.6,732.41
"WIH2_2021","W10004_0031/PHK76",65,65,0,263.3,146.7,0.557159134,7.71,23.9,687.36
"WIH2_2021","W10004_0031/PHZ51",66,66,0,261.7,135,0.515857853,13.08,21.7,714.39
