Leaf_Collar ,GDUs_Stage ,GDUs_after_seeding
V0,150,150
VE,66,216
V1,66,282
V2,66,348
V3,66,414
V4,66,480
V5,66,546
V6,66,612
V7,66,678
V8,66,744
V9,66,810
V10,66,876
V11,66,942
V12,66,1008
V13,66,1074
V14,66,1140
V15,48,1188
V16,48,1236
V17,48,1284
V18,48,1332
V19,48,1380
V20,48,1428
VT,100,1528
R1_1,100,1628
R1_2,125,1753
R1_3,100,1853
R2_1,100,1953
R2_2,100,2053
R3_1,100,2153
R3_2,100,2253
R4_1,100,2353
R4_2,100,2453
R5_1,125,2578
R5_2,125,2703
R5_3,125,2828
R6,125,2953
