Env,SoilDepth,SoilpH,WDRFpH,SSalts,PSMC,Organic,NitrateN,NitrogenPerAcre ,K,SulfateS,Ca,Mg,Na,CEC,PercentH ,PercentK,PercentCa,PercentMg,PercentNa,P,PercentSand,PercentSilt,PercentClay 
ARH1_2016,0.508924482,1.600149,-0.883518008,0.347142881,0.095782629,0.599613366,-0.412667051,-0.520094607,-0.380461686,-0.385779671,-0.3268686,0.372103324,0.761206601,-0.482988337,-0.632762968,-0.463322966,-0.498466637,0.747694012,0.436303782,-0.074562427,0.238451639,-0.863905543,0.586695724
ARH2_2016,0.508924482,-0.161501326,0.731634409,-1.171515562,0.095782629,1.385794484,-0.956018959,1.406984374,-0.77107959,0.006697314,-0.892531206,-0.506623367,0.231360318,-0.192448995,-0.632762968,-0.442192337,-1.280097971,0.429944879,0.489718734,-0.456895301,1.001090623,-0.080741354,-0.427415185
COH1_2017,0.508924482,1.895900514,0.731634409,3.344495072,0.095782629,-0.23024448,1.71659324,1.950917957,1.954934718,9.175940871,2.224045858,2.351749027,5.758620404,2.313452825,-0.632762968,-0.146363531,0.613903521,0.069473174,2.181192213,-0.238419373,-0.438082944,-0.52127121,1.651512178
DEH1_2016,0.508924482,-1.447377476,-2.498670425,0.986578015,0.095782629,-0.535981582,0.803082844,0.951116228,0.043400295,0.791651283,-1.104572369,-1.028838086,-0.442989496,-0.712998649,2.886478274,0.698861629,-2.627084006,-0.998591138,-0.934679985,3.120648019,1.665324578,-1.32075132,-1.441526093
DEH1_2017,0.508924482,-1.061614631,-1.691094217,-0.212362861,0.095782629,-1.147455785,-0.236077681,-0.188554137,-0.405394743,0.48748162,-1.219153618,-1.294966741,-0.105814589,-1.06406702,3.065422744,0.698861629,-2.690322787,-1.399115254,0.845818414,1.20898365,1.812932123,-1.516542367,-1.441526093
DEH1_2019,-1.802440873,-0.290088941,0.731634409,-0.931727387,-10.34452388,-0.448628124,0.409152711,-0.188554137,-0.363839647,0.399174298,-1.109840472,-1.204583424,-0.49115734,-1.439347002,-0.632762968,2.389311948,0.218661139,0.069473174,0.845818414,2.547148708,1.960539669,-1.581806049,-1.644348275
DEH1_2020,-1.802440873,-0.933027016,-0.883518008,-0.532080428,0.095782629,-1.234809242,0.728371957,0.039379936,-0.430327801,-0.130669631,-1.137498015,-1.310030627,-0.442989496,-1.20933669,1.932107768,1.121474209,-1.61526351,-1.265607216,0.845818414,1.78248296,2.108147214,-1.777597096,-1.644348275
DEH1_2021,-1.802440873,-0.933027016,-0.883518008,0.107354706,0.095782629,-1.67157653,1.461897033,0.578133199,-0.44694984,0.251995429,-1.190837562,-1.289945446,-0.442989496,-1.354606361,1.514570671,1.544086789,-1.488785948,-0.73157506,0.845818414,1.645935505,-0.499586088,0.702422835,-0.123181912
GAH1_2016,0.508924482,-0.290088941,0.731634409,0.586931056,0.095782629,-1.67157653,0.443112205,0.55741192,-0.039709897,0.301055052,-1.063744567,-1.355222286,-0.539325184,-1.41513539,-0.632762968,3.657149688,0.598093825,-0.998591138,0.845818414,2.32867278,1.960539669,-1.451278684,-1.847170457
GAH1_2017,0.508924482,-0.290088941,0.731634409,-1.491233129,0.095782629,-1.67157653,-1.438243778,-1.514716016,-0.613170224,-0.032550385,-1.090743597,-1.249775083,-0.539325184,-1.439347002,-0.632762968,1.544086789,0.534855044,-0.197542904,0.845818414,2.192125325,1.862134638,-1.451278684,-1.644348275
GAH1_2019,0.508924482,-0.290088941,0.731634409,-1.331374345,0.095782629,-1.758929987,-1.397492385,-1.473273457,-0.704591436,-0.081610008,-1.171082174,-1.410456535,-0.442989496,-1.548299255,-0.632762968,2.389311948,0.661332606,-0.865083099,2.626316813,2.137506343,2.108147214,-1.712333414,-1.745759366
GAH1_2020,-2.95812355,0.095673904,0.731634409,-1.491233129,0.095782629,-1.758929987,-1.397492385,-1.535437295,-0.77107959,-0.228788877,-1.092719136,-1.294966741,-0.105814589,-1.451452808,-0.632762968,1.121474209,0.661332606,-0.464558982,2.626316813,2.574458199,2.058944699,-1.451278684,-2.049992639
GAH2_2016,0.508924482,-1.318789861,-1.691094217,0.187284098,0.095782629,-0.186567752,1.740364886,1.987180196,-0.820945705,-0.189541179,-0.888580128,-0.908326997,-0.539325184,-0.688787037,1.991755924,-0.568976111,-1.61526351,-0.73157506,-0.934679985,-0.893847156,0.73047679,-0.537587131,-0.731648457
